schema_version,figure_id,panel_id,series_id,point_order,case_id,x_name,x_value,x_unit,y_name,y_value,y_unit,xerr_low,xerr_high,yerr_low,yerr_high,marker,color,linestyle,label,eligible,annotation
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,6,p1_pilot_rigid_ka010_d0210_t000,lmax,7,1,peak_rss_bytes,140648448,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,7,p1_pilot_rigid_ka010_d0210_t000,lmax,8,1,peak_rss_bytes,141959168,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,8,p1_pilot_rigid_ka010_d0210_t000,lmax,9,1,peak_rss_bytes,143269888,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,9,p1_pilot_rigid_ka010_d0210_t000,lmax,10,1,peak_rss_bytes,145629184,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,10,p1_pilot_rigid_ka010_d0210_t000,lmax,11,1,peak_rss_bytes,149037056,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,11,p1_pilot_rigid_ka010_d0210_t000,lmax,12,1,peak_rss_bytes,152444928,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,12,p1_pilot_rigid_ka010_d0210_t000,lmax,13,1,peak_rss_bytes,158732288,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,13,p1_pilot_rigid_ka010_d0210_t000,lmax,14,1,peak_rss_bytes,165285888,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,14,p1_pilot_rigid_ka010_d0210_t000,lmax,15,1,peak_rss_bytes,176668672,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,15,p1_pilot_rigid_ka010_d0210_t000,lmax,16,1,peak_rss_bytes,187416576,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,16,p1_pilot_rigid_ka010_d0210_t000,lmax,17,1,peak_rss_bytes,206442496,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,17,p1_pilot_rigid_ka010_d0210_t000,lmax,18,1,peak_rss_bytes,224006144,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,18,p1_pilot_rigid_ka010_d0210_t000,lmax,19,1,peak_rss_bytes,245239808,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,19,p1_pilot_rigid_ka010_d0210_t000,lmax,20,1,peak_rss_bytes,280924160,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
1.0.0,p1_5_resource_pilot,resource_profile,peak_rss_bytes,20,p1_pilot_rigid_ka010_d0210_t000,lmax,21,1,peak_rss_bytes,311857152,byte,,,,,square,#D55E00,solid,peak_rss_bytes,false,unconfirmed_at_21
