case_id,geometry,particle_count,coordinates_xyz,ka,f0,f1,minimum_distance_over_radius,lmax,full_modes_per_particle,active_modes_per_particle,system_residual,condition_number,scattered_condition_number,balanced_condition_number,balanced_backward_error,effective_incident_closure_error,scattering_closure_error,production_solver,decomposition_residual,used_planar_symmetry,total_rms,total_successive_change,total_absolute_change,total_change_applicable,total_minimum_confirmed_lmax,interaction_rms,interaction_successive_change,interaction_absolute_change,interaction_change_applicable,interaction_minimum_confirmed_lmax,external_scattered_rms,external_scattered_successive_change,external_scattered_absolute_change,external_scattered_change_applicable,external_scattered_minimum_confirmed_lmax,scattered_scattered_rms,scattered_scattered_successive_change,scattered_scattered_absolute_change,scattered_scattered_change_applicable,scattered_scattered_minimum_confirmed_lmax
dimer_axis,dimer,2,-1.25:-0:-0;1.25:0:0,0.10000000000000001,0,0.80000000000000004,2.5,2,9,3,1.872616582621347e-16,2.0743342130271483,2.0743342130271492,1.0931960256828301,1.9685021237526959e-17,3.024889503631564e-18,1.1868502143999946e-16,balanced_sqrt,0,true,0.33619222949803579,0,0,false,0,0.33619222949803579,0,0,false,0,0.32718072136848442,0,0,false,0,0.009011508129551352,0,0,false,0
dimer_axis,dimer,2,-1.25:-0:-0;1.25:0:0,0.10000000000000001,0,0.80000000000000004,2.5,3,16,6,4.2674611978874888e-15,576.48469950950209,576.484699509498,1.1148376660111652,1.518845097258798e-17,1.1650455360288503e-18,1.425744012265791e-16,balanced_sqrt,0,true,0.34767202807404474,0.033019045678198862,0.011479798576008921,true,0,0.34767202807404474,0.033019045678198862,0.011479798576008921,true,0,0.3308891837572393,0.011207566069840512,0.0037084623887548573,true,0,0.01678284431680541,0.46305239091518424,0.0077713361872540571,true,0
dimer_axis,dimer,2,-1.25:-0:-0;1.25:0:0,0.10000000000000001,0,0.80000000000000004,2.5,4,25,10,1.6623203276513445e-13,981583.16150047968,981583.16150115069,1.1253662219364424,3.0298914745858942e-17,1.8563276184692202e-20,1.1969139332861974e-16,balanced_sqrt,0,true,0.35257977168881222,0.013919526895317936,0.0049077436147674791,true,0,0.35257977168881222,0.013919526895317936,0.0049077436147674791,true,0,0.3321766916879984,0.0038759731280857352,0.001287507930759102,true,0,0.020403080000813832,0.17743574420450348,0.003620235684008424,true,0
dimer_axis,dimer,2,-1.25:-0:-0;1.25:0:0,0.10000000000000001,0,0.80000000000000004,2.5,5,36,15,4.9066172291794023e-12,2380826876.9469447,2380826877.1307507,1.1300134683863645,2.5578090637118709e-17,5.4824984513024682e-22,1.6534831320160451e-16,balanced_sqrt,0,true,0.35421730871809598,0.0046229729292731961,0.0016375370292837643,true,0,0.35421730871809598,0.0046229729292731961,0.0016375370292837643,true,0,0.3325243865968352,0.0010456222847148688,0.0003476949088367931,true,0,0.021692922121260776,0.05945912280682538,0.0012898421204469435,true,0
dimer_axis,dimer,2,-1.25:-0:-0;1.25:0:0,0.10000000000000001,0,0.80000000000000004,2.5,6,49,21,4.0333731395419758e-10,7813551293039.4004,7813551281247.7471,1.1319003982321483,2.5550614770028117e-17,1.1719442728949647e-23,1.8793902058309175e-16,balanced_sqrt,0,true,0.35470732665555693,0.0013814711471601977,0.00049001793746097921,true,0,0.35470732665555693,0.0013814711471601977,0.00049001793746097921,true,0,0.33261903205465843,0.00028454612845988693,9.4645457823228085e-05,true,0,0.022088294600898551,0.01789963810160744,0.00039537247963777363,true,0
dimer_axis,dimer,2,-1.25:-0:-0;1.25:0:0,0.10000000000000001,0,0.80000000000000004,2.5,7,64,28,1.4067615361684186e-08,33441377813855852,33441383638215304,1.1326133961616607,2.5181251965225919e-17,1.3110798307092199e-25,1.0854099431401493e-16,balanced_sqrt,0,true,0.35484171500238437,0.00037872758795146213,0.00013438834682741319,true,0,0.35484171500238437,0.00037872758795146213,0.00013438834682741319,true,0,0.3326431240018779,7.2425808565066327e-05,2.4091947219445631e-05,true,0,0.022198591000506505,0.0049686216393389701,0.00011029639960795194,true,0
dimer_axis,dimer,2,-1.25:-0:-0;1.25:0:0,0.10000000000000001,0,0.80000000000000004,2.5,8,81,36,8.1536670680761552e-07,1.8133715075387186e+20,1.8134161562610853e+20,1.1328673030310312,1.7443223137620966e-17,2.1304925086546123e-27,6.3503743405881026e-17,balanced_sqrt,0,true,0.35487646626170205,9.7924947471864237e-05,3.4751259317677974e-05,true,0,0.35487646626170205,9.7924947471864237e-05,3.4751259317677974e-05,true,0,0.33264897291712203,1.7582844741318981e-05,5.8489152441609793e-06,true,0,0.022227493344580018,0.0013002970521893259,2.890234407351526e-05,true,0
dimer_axis,dimer,2,-1.25:-0:-0;1.25:0:0,0.10000000000000001,0,0.80000000000000004,2.5,9,100,45,6.3050939142170092e-05,1.2248024709316481e+24,1.2171697522654483e+24,1.1329535742333885,1.2885916894467221e-17,1.0935674583369482e-29,1.0144482852702818e-16,balanced_sqrt,0,true,0.35488509498524234,2.4314133397607411e-05,8.628723540293759e-06,true,0,0.35488509498524234,2.4314133397607411e-05,8.628723540293759e-06,true,0,0.33265034507183039,4.1249159325550275e-06,1.3721547083567209e-06,true,0,0.022234749913411934,0.00032636161234892417,7.2565688319162214e-06,true,0
dimer_diagonal,dimer,2,-1.4142135623730951:-1.4142135623730949:-0;1.4142135623730951:1.4142135623730949:0,0.050000000000000003,0,0.40000000000000002,4,2,9,3,2.2798149474123296e-17,1.1158896441645312,1.115889644164531,1.0079575137967673,2.8312712747141305e-17,5.4792063019369778e-18,1.0112546232235832e-16,balanced_sqrt,0,true,0.011938328620229959,0,0,false,7,0.011938328620229959,0,0,false,7,0.011900266355216882,0,0,false,6,3.8062265013078372e-05,0,0,false,9
dimer_diagonal,dimer,2,-1.4142135623730951:-1.4142135623730949:-0;1.4142135623730951:1.4142135623730949:0,0.050000000000000003,0,0.40000000000000002,4,3,16,6,5.5002156120530386e-16,21.435849689592757,21.435849689592761,1.008218563862364,2.678898313643128e-17,2.7220358551591512e-18,8.3917959416176963e-17,balanced_sqrt,0,true,0.011954951474634927,0.0013904577061844509,1.66228544049673e-05,true,7,0.011954951474634927,0.0013904577061844509,1.66228544049673e-05,true,7,0.011905153277878217,0.00041048800861866587,4.8869226613362116e-06,true,6,4.9798196756711374e-05,0.23566981352695932,1.1735931743633e-05,true,9
