case_id,particle_index,x,y,z,a_x,a_y,b_l_x,b_l_y,d_x,d_y,collective_x,collective_y
n2_pair_f0.1_d2.1,0,-1.05,0,0,0.0097642527555988623,0,0.0099473423041284079,0,0.0099473423041284079,9.4510893648726439e-21,0,9.4510893648726439e-21
n2_pair_f0.1_d2.1,1,1.05,0,0,-0.0097642527555988623,0,-0.0099473423041284079,0,-0.0099473423041284096,1.2250015226896646e-18,-1.7347234759768071e-18,1.2250015226896646e-18
n2_pair_f0.1_d2.5,0,-1.25,0,0,0.0048765290365825652,0,0.0049143327407276506,0,0.0049143327407276506,4.7145805416418063e-22,0,4.7145805416418063e-22
n2_pair_f0.1_d2.5,1,1.25,0,0,-0.0048765290365825652,0,-0.0049143327407276506,0,-0.0049143327407276506,6.0278653260089123e-19,0,6.0278653260089123e-19
n2_pair_f0.1_d3.0,0,-1.5,0,0,0.0023627859156558156,0,0.0023712253450265787,0,0.0023712253450265787,1.3156968953418996e-22,0,1.3156968953418996e-22
n2_pair_f0.1_d3.0,1,1.5,0,0,-0.0023627859156558156,0,-0.0023712253450265787,0,-0.0023712253450265787,2.9051683863228594e-19,0,2.9051683863228594e-19
n2_pair_f0.1_d4.0,0,-2,0,0,0.00075671032566280343,0,0.00075766484519006519,0,0.00075766484519006519,0,0,0
n2_pair_f0.1_d4.0,1,2,0,0,-0.00075671032566280343,0,-0.00075766484519006519,0,-0.00075766484519006519,9.2789523543987457e-20,0,9.2789523543987457e-20
n2_pair_f0.1_d6.0,0,-3,0,0,0.00015490972665714239,0,0.00015496581222251959,0,0.00015496581222251959,0,0,0
n2_pair_f0.1_d6.0,1,3,0,0,-0.00015490972665714239,0,-0.00015496581222251959,0,-0.00015496581222251954,1.8967963574512383e-20,5.4210108624275222e-20,1.8967963574512383e-20
n2_pair_f0.1_d10.0,0,-5,0,0,2.2650993403820638e-05,0,2.2653048702590407e-05,0,2.2653048702590407e-05,0,0,0
n2_pair_f0.1_d10.0,1,5,0,0,-2.2650993403820638e-05,0,-2.2653048702590407e-05,0,-2.2653048702590407e-05,2.7410351986289572e-21,0,2.7410351986289572e-21
n2_pair_f0.4_d2.1,0,-1.05,0,0,0.1562280440895818,0,0.1689024822865498,0,0.1689024822865498,5.5294354854902231e-19,0,5.5294354854902231e-19
n2_pair_f0.4_d2.1,1,1.05,0,0,-0.1562280440895818,0,-0.1689024822865498,0,-0.16890248228654978,2.1292536849202451e-17,2.7755575615628914e-17,2.1292536849202451e-17
n2_pair_f0.4_d2.5,0,-1.25,0,0,0.078024464585321043,0,0.080468046415533123,0,0.080468046415533123,5.1926170802826966e-20,0,5.1926170802826966e-20
n2_pair_f0.4_d2.5,1,1.25,0,0,-0.078024464585321043,0,-0.080468046415533123,0,-0.080468046415533151,9.9207054433833476e-18,-2.7755575615628914e-17,9.9207054433833476e-18
n2_pair_f0.4_d3.0,0,-1.5,0,0,0.037804574650493049,0,0.038330497440135301,0,0.038330497440135301,1.1578132679008716e-20,0,1.1578132679008716e-20
n2_pair_f0.4_d3.0,1,1.5,0,0,-0.037804574650493049,0,-0.038330497440135301,0,-0.038330497440135287,4.7031778352155093e-18,1.3877787807814457e-17,4.7031778352155093e-18
n2_pair_f0.4_d4.0,0,-2,0,0,0.012107365210604855,0,0.01216432795276451,0,0.01216432795276451,7.0170501084901304e-22,0,7.0170501084901304e-22
n2_pair_f0.4_d4.0,1,2,0,0,-0.012107365210604855,0,-0.01216432795276451,0,-0.012164327952764507,1.4900705905378793e-18,3.4694469519536142e-18,1.4900705905378793e-18
n2_pair_f0.4_d6.0,0,-3,0,0,0.0024785556265142783,0,0.0024817346168216391,0,0.0024817346168216391,0,0,0
n2_pair_f0.4_d6.0,1,3,0,0,-0.0024785556265142783,0,-0.0024817346168216391,0,-0.0024817346168216391,3.0383826969762264e-19,0,3.0383826969762264e-19
n2_pair_f0.4_d10.0,0,-5,0,0,0.00036241589446113021,0,0.00036252701616733106,0,0.00036252701616733106,0,0,0
n2_pair_f0.4_d10.0,1,5,0,0,-0.00036241589446113021,0,-0.00036252701616733106,0,-0.00036252701616733106,4.3856563178063314e-20,0,4.3856563178063314e-20
n2_pair_f0.8_d2.1,0,-1.05,0,0,0.62491217635832719,0,0.74306796272687115,0,0.74306796272687115,3.7835934184978785e-18,0,3.7835934184978785e-18
n2_pair_f0.8_d2.1,1,1.05,0,0,-0.62491217635832719,0,-0.74306796272687115,0,-0.74306796272687115,9.8059065036084488e-17,0,9.8059065036084488e-17
n2_pair_f0.8_d2.5,0,-1.25,0,0,0.31209785834128417,0,0.33279967563319529,0,0.33279967563319529,7.4661413154334985e-19,0,7.4661413154334985e-19
n2_pair_f0.8_d2.5,1,1.25,0,0,-0.31209785834128417,0,-0.33279967563319529,0,-0.33279967563319524,4.1333231959050265e-17,5.5511151231257827e-17,4.1333231959050265e-17
n2_pair_f0.8_d3.0,0,-1.5,0,0,0.1512182986019722,0,0.15553669853516797,0,0.15553669853516797,8.4204601301881554e-20,0,8.4204601301881554e-20
n2_pair_f0.8_d3.0,1,1.5,0,0,-0.1512182986019722,0,-0.15553669853516797,0,-0.15553669853516799,1.9125671775700699e-17,-2.7755575615628914e-17,1.9125671775700699e-17
n2_pair_f0.8_d4.0,0,-2,0,0,0.04842946084241942,0,0.048886241294638012,0,0.048886241294638012,5.6136400867921043e-21,0,5.6136400867921043e-21
n2_pair_f0.8_d4.0,1,2,0,0,-0.04842946084241942,0,-0.048886241294638012,0,-0.048886241294638012,5.9911573826288735e-18,0,5.9911573826288735e-18
n2_pair_f0.8_d6.0,0,-3,0,0,0.0099142225060571132,0,0.0099392494611581662,0,0.0099392494611581662,0,0,0
