case_id,split,particle_count,family,radius,k,ka,energy_density,f0,f1,distance_ratio,pair_count,reference_lmax,maximum_allowed_lmax,total_converged,matched_pairwise_converged,collective_residual_converged,joint_converged,collective_residual_resolved,metric_applicable,eta,lambda_max,rho_l1,rms_a,rms_matched_pairwise,rms_d,epsilon_a,epsilon_b,y_two_body,y_collective,y_multipolar,delta_d_penultimate,delta_d_last,delta_b_penultimate,delta_b_last,delta_r_penultimate,delta_r_last,collective_uncertainty,identity_max_abs_error,maximum_physical_residual,maximum_balanced_condition,maximum_raw_condition
n2_pair_f0.1_d2.1,calibration,2,pair,1,0.10000000000000001,0.10000000000000001,1,0,0.10000000000000001,2.1000000000000001,1,9,13,true,true,true,true,false,true,0.01079796998164345,0.01079796998164345,0.0055167482766554244,0.0097642527555988623,0.0099473423041284079,0.0099473423041284079,0.018405875954782363,1.5096122805322405e-16,0.018405875954782273,1.5096122805322405e-16,0.012960653392026927,0.00036780476495819374,4.3081666391984207e-05,0.00036780476495810652,4.3081666391984207e-05,1.2331866497334875e-16,2.2154309745942971e-20,1.2331866497334875e-16,0,2.1745048937955017e-16,1.0501324475304785,7.8406185006602197e+23
n2_pair_f0.1_d2.5,calibration,2,pair,1,0.10000000000000001,0.10000000000000001,1,0,0.10000000000000001,2.5,1,7,13,true,true,true,true,false,true,0.006400000000000002,0.006400000000000002,0.0032984845004941287,0.0048765290365825652,0.0049143327407276506,0.0049143327407276506,0.0076925406030784876,8.6732949856557852e-17,0.0076925406030784876,8.6732949856557852e-17,0.0044086399599944405,0.00046056451058494575,3.3403539674301347e-05,0.00046056451058485749,3.3403539674301347e-05,1.248059651916194e-16,4.3059916560460733e-20,1.248059651916194e-16,0,1.9639759456674653e-16,1.0146977438021223,451795301914537.12
n2_pair_f0.1_d3.0,calibration,2,pair,1,0.10000000000000001,0.10000000000000001,1,0,0.10000000000000001,3,1,7,13,true,true,true,true,false,true,0.003703703703703703,0.003703703703703703,0.0019333900942426941,0.0023627859156558156,0.0023712253450265787,0.0023712253450265787,0.0035591005251626906,8.6633034748584653e-17,0.0035591005251626906,8.6633034748584653e-17,0.0016289313752015247,8.2535295048152978e-05,2.8908839524091834e-06,8.2535295048061526e-05,2.8908839524091834e-06,1.2932536104810877e-16,4.6238291175057731e-21,1.2932536104810877e-16,0,1.4467572390814989e-16,1.0062465033899004,16773683890264.021
n2_pair_f0.1_d4.0,calibration,2,pair,1,0.10000000000000001,0.10000000000000001,1,0,0.10000000000000001,4,1,5,13,true,true,true,true,false,true,0.0015625000000000001,0.0015625000000000001,0.00084143200111476651,0.00075671032566280343,0.00075766484519006519,0.00075766484519006519,0.001259817626911695,8.6597790220243255e-17,0.001259817626911695,8.6597790220243255e-17,0.00041890176169517509,0.00041319313678664398,5.7109846481920404e-06,0.00041319313678650087,5.7109846481920404e-06,2.0237209553059338e-16,1.023251686402496e-20,2.0237209553059338e-16,0,1.3899877190996911e-16,1.0021255115224517,46729.158873703309
n2_pair_f0.1_d6.0,calibration,2,pair,1,0.10000000000000001,0.10000000000000001,1,0,0.10000000000000001,6,1,5,13,true,true,true,true,false,true,0.00046296296296296287,0.00046296296296296287,0.00026995147661320826,0.00015490972665714239,0.00015496581222251959,0.00015496581222251957,0.00036192218511162566,2.6206476570042155e-16,0.0003619221851118006,2.6206476570042155e-16,9.2500306118728346e-05,9.2361425188658891e-05,1.3889375849493215e-07,9.2361425188571436e-05,1.3889375875729697e-07,1.2368003218152365e-16,3.7103992358690624e-16,3.7103992358690624e-16,0,2.2796981741543778e-16,1.0005892802590592,165.62887478202376
n2_pair_f0.1_d10.0,calibration,2,pair,1,0.10000000000000001,0.10000000000000001,1,0,0.10000000000000001,10,1,5,13,true,true,true,true,false,true,0.00010000000000000003,0.00010000000000000003,7.0710678118654768e-05,2.2650993403820638e-05,2.2653048702590407e-05,2.2653048702590407e-05,9.0729455304349458e-05,8.556042949750576e-17,9.0729455304349458e-05,8.556042949750576e-17,2.1901650239435256e-05,2.1900299798748486e-05,1.3504702624726429e-09,2.1900299798673703e-05,1.3504702624726429e-09,1.0575931735533814e-16,0,1.0575931735533814e-16,0,1.9648632080800465e-16,1.0001421014671563,1.4475827475151877
n2_pair_f0.4_d2.1,calibration,2,pair,1,0.10000000000000001,0.10000000000000001,1,0,0.40000000000000002,2.1000000000000001,1,11,13,true,true,true,true,false,true,0.043191879926573799,0.043191879926573799,0.022066993106621698,0.1562280440895818,0.1689024822865498,0.1689024822865498,0.075039975880670032,1.464699463164978e-16,0.075039975880670115,1.464699463164978e-16,0.0541684160745073,0.00027749444574893043,3.7655409205645691e-05,0.0002774944457492591,3.765540920548136e-05,4.6481082519972637e-16,2.3239781849750726e-16,4.6481082519972637e-16,0,2.0167670344963535e-16,1.2366641217407619,2.4628786855671003e+33
n2_pair_f0.4_d2.5,calibration,2,pair,1,0.10000000000000001,0.10000000000000001,1,0,0.40000000000000002,2.5,1,9,13,true,true,true,true,false,true,0.025600000000000008,0.025600000000000008,0.013193938001976515,0.078024464585321043,0.080468046415533123,0.080468046415533137,0.030367107678910883,2.5901219866498529e-16,0.03036710767891071,2.5901219866498529e-16,0.017402952353252614,0.000150284520488765,8.6631086472752212e-06,0.000150284520488765,8.6631086471027585e-06,4.2658563987175634e-19,2.4390012779080273e-16,2.4390012779080273e-16,0,3.1079751138898516e-16,1.0618965192718979,2.6936939168062004e+23
n2_pair_f0.4_d3.0,calibration,2,pair,1,0.10000000000000001,0.10000000000000001,1,0,0.40000000000000002,3,1,7,13,true,true,true,true,false,true,0.014814814814814812,0.014814814814814812,0.0077335603769707762,0.037804574650493049,0.038330497440135301,0.038330497440135294,0.013720740005099949,2.7031473944488808e-16,0.013720740005100131,2.7031473944488808e-16,0.0060341333228070247,0.00035199755055328292,1.2495696436665744e-05,0.00035199755055328292,1.2495696436846772e-05,7.0010549542466144e-20,2.5601228930642878e-16,2.5601228930642878e-16,0,3.3921993638395827e-16,1.025624968410187,273827114334810.94
n2_pair_f0.4_d4.0,calibration,2,pair,1,0.10000000000000001,0.10000000000000001,1,0,0.40000000000000002,4,1,7,13,true,true,true,true,false,true,0.0062500000000000003,0.0062500000000000003,0.0033657280044590661,0.012107365210604855,0.01216432795276451,0.012164327952764509,0.0046827693548584653,2.1949095993576675e-16,0.0046827693548586085,2.1949095993576675e-16,0.0013221486231643025,2.4138928310972077e-05,2.7140874607233055e-07,2.4138928310900774e-05,2.7140874621493797e-07,1.0083870403933126e-16,2.0167735334165009e-16,2.0167735334165009e-16,0,2.1155799003102624e-16,1.0085942935607106,1520157200406.6853
