ka,kd,separation_ratio,f1,corrected_force,silva_bruus_force,relative_error_percent
0.1,0.2,0.5,0.1,-0.012010729190874035,-0.01186029243819678,1.2525197287068857
0.1,0.20020000000000002,0.49950049950049946,0.1,-0.011962149993423443,-0.011813129268140371,1.2457687402766213
0.1,0.20040000000000002,0.499001996007984,0.1,-0.011913821342875245,-0.0117662007789183,1.239069814029278
0.1,0.2006,0.49850448654037893,0.1,-0.011865741632261903,-0.011719505569688581,1.232422440209886
0.1,0.2008,0.49800796812749004,0.1,-0.011817909267408633,-0.011673042249357729,1.2258261150338827
0.1,0.201,0.49751243781094534,0.1,-0.01177032266680564,-0.011626809436503368,1.2192803406061583
0.1,0.20120000000000002,0.4970178926441352,0.1,-0.011722980261481704,-0.011580805759297366,1.2127846248405076
0.1,0.20140000000000002,0.4965243296921549,0.1,-0.011675880494879658,-0.011535029855429807,1.2063384813815028
0.1,0.2016,0.49603174603174605,0.1,-0.011629021822733189,-0.011489480372033567,1.1999414295262285
0.1,0.2018,0.4955401387512389,0.1,-0.011582402712945318,-0.01144415596560955,1.193592994148385
0.1,0.202,0.49504950495049505,0.1,-0.01153602164546834,-0.011399055301952626,1.187292705622815
0.1,0.20220000000000002,0.4945598417408506,0.1,-0.011489877112185357,-0.011354177056078251,1.181040099751736
0.1,0.20240000000000002,0.49407114624505927,0.1,-0.011443967616793125,-0.011309519912149653,1.1748347176916154
0.1,0.2026,0.493583415597236,0.1,-0.011398291674686494,-0.011265082563405741,1.1686761058815973
0.1,0.2028,0.4930966469428008,0.1,-0.011352847812844161,-0.011220863712089591,1.1625638159726581
0.1,0.203,0.4926108374384237,0.1,-0.01130763456971598,-0.011176862069377666,1.1564974047582646
0.1,0.20320000000000002,0.4921259842519685,0.1,-0.011262650495111451,-0.01113307635530952,1.1504764341055633
0.1,0.2034,0.4916420845624386,0.1,-0.011217894150089785,-0.011089505298718265,1.1445004708882254
0.1,0.2036,0.4911591355599214,0.1,-0.011173364106851123,-0.011046147637161519,1.1385690869198435
0.1,0.2038,0.4906771344455349,0.1,-0.011129058948629224,-0.0110030021168531,1.132681858888449
0.1,0.20400000000000001,0.49019607843137253,0.1,-0.011084977269585322,-0.01096006749259517,1.1268383682921612
0.1,0.20420000000000002,0.4897159647404505,0.1,-0.011041117674703426,-0.01091734252771114,1.1210382013758464
0.1,0.2044,0.4892367906066536,0.1,-0.010997478779686706,-0.010874825993979032,1.1152809490682873
0.1,0.2046,0.4887585532746824,0.1,-0.010954059210855247,-0.010832516671565482,1.1095662069209764
0.1,0.2048,0.48828125,0.1,-0.01091085760504494,-0.0107904133489603,1.1038935750472045
0.1,0.20500000000000002,0.48780487804878053,0.1,-0.010867872609507718,-0.010748514822911686,1.0982626580625554
0.1,0.20520000000000002,0.4873294346978557,0.1,-0.010825102881812756,-0.010706819898361846,1.0926730650258962
0.1,0.2054,0.4868549172346641,0.1,-0.010782547089749116,-0.010665327388383397,1.0871244093815164
0.1,0.2056,0.48638132295719844,0.1,-0.010740203911229252,-0.010624036114116059,1.0816163089020694
0.1,0.2058,0.4859086491739553,0.1,-0.010698072034193923,-0.010582944904704182,1.0761483856321408
0.1,0.20600000000000002,0.4854368932038835,0.1,-0.010656150156518033,-0.010542052597234574,1.0707202658332353
0.1,0.20620000000000002,0.4849660523763336,0.1,-0.010614436985917656,-0.010501358036675042,1.0653315799287124
0.1,0.2064,0.4844961240310077,0.1,-0.010572931239858169,-0.010460860075813386,1.0599819624504283
0.1,0.2066,0.48402710551790906,0.1,-0.010531631645463366,-0.010420557575196924,1.0546710519854676
0.1,0.2068,0.48355899419729204,0.1,-0.01049053693942571,-0.01038044940307256,1.0493984911241134
0.1,0.20700000000000002,0.48309178743961356,0.1,-0.010449645867917634,-0.010340534435327424,1.0441639264082905
0.1,0.2072,0.4826254826254827,0.1,-0.01040895718650376,-0.010300811555429895,1.0389670082809734
0.1,0.2074,0.4821600771456124,0.1,-0.01036846966005425,-0.01026127965437125,1.033807391036337
0.1,0.2076,0.4816955684007707,0.1,-0.010328182062659117,-0.010221937630607822,1.0286847327703088
0.1,0.2078,0.48123195380173245,0.1,-0.01028809317754346,-0.010182784390003561,1.023598695332237
0.1,0.20800000000000002,0.4807692307692307,0.1,-0.010248201796983724,-0.010143818845773157,1.0185489442771243
0.1,0.2082,0.48030739673390976,0.1,-0.010208506722224949,-0.0101050399184257,1.0135351488185014
0.1,0.2084,0.4798464491362764,0.1,-0.010169006763398809,-0.01006644653570867,1.008556981781967
0.1,0.2086,0.4793863854266539,0.1,-0.01012970073944281,-0.010028037632552632,1.0036141195595618
0.1,0.2088,0.4789272030651341,0.1,-0.010090587478020167,-0.009989812151016188,0.9987062420646226
0.1,0.20900000000000002,0.47846889952153115,0.1,-0.010051665815440765,-0.00995176904023157,0.9938330326873647
0.1,0.2092,0.4780114722753347,0.1,-0.010012934596582874,-0.009913907256350572,0.988994178251173
0.1,0.2094,0.4775549188156638,0.1,-0.00997439267481582,-0.009876225762491038,0.9841893689692199
0.1,0.2096,0.47709923664122134,0.1,-0.009936038911923545,-0.009838723528683787,0.9794182984023628
0.1,0.20980000000000001,0.47664442326024786,0.1,-0.009897872178028922,-0.009801399531819972,0.9746806634167016
0.1,0.21000000000000002,0.47619047619047616,0.1,-0.009859891351518952,-0.009764252755598862,0.9699761641425811
0.1,0.2102,0.4757373929590866,0.1,-0.009822095318970868,-0.009727282190476173,0.9653045039337818
0.1,0.2104,0.47528517110266155,0.1,-0.009784482975078907,-0.009690486833612696,0.9606653893273593
0.1,0.2106,0.47483380816714155,0.1,-0.00974705322258207,-0.00965386568882355,0.9560585300039401
0.1,0.21080000000000002,0.47438330170777987,0.1,-0.009709804972192466,-0.009617417766527634,0.9514836387488302
0.1,0.21100000000000002,0.47393364928909953,0.1,-0.009672737142524665,-0.00958114208369774,0.9469404314135744
0.1,0.2112,0.47348484848484856,0.1,-0.00963584866002563,-0.009545037663810926,0.9424286268778233
0.1,0.2114,0.4730368968779565,0.1,-0.009599138458905537,-0.00950910353679938,0.9379479470121301
0.1,0.2116,0.47258979206049145,0.1,-0.009562605481069296,-0.009473338739001717,0.9334981166408709
0.1,0.21180000000000002,0.47214353163361666,0.1,-0.009526248676048867,-0.009437742313114655,0.9290788635062347
0.1,0.21200000000000002,0.4716981132075471,0.1,-0.009490067000936178,-0.00940231330814506,0.9246899182319849
0.1,0.2122,0.471253534401508,0.1,-0.009454059420316973,-0.009367050779362552,0.920331014288292
