case_id,particle_count,family,rho_band,f1,distance_ratio,rho_l1,coordinates_xyz,lmax,final_lmax,system_dimension,active_modes_per_particle,balanced_condition_number,balanced_backward_error,effective_incident_closure_error,scattering_closure_error,force_decomposition_residual,max_abs_fz,total_forces_xyz,external_forces_xyz,interaction_forces_xyz,external_scattered_forces_xyz,scattered_scattered_forces_xyz,production_solver,finite,campaign_complete,total_rms,total_successive_change,total_absolute_change,total_change_applicable,total_minimum_confirmed_lmax,total_confirmed,interaction_rms,interaction_successive_change,interaction_absolute_change,interaction_change_applicable,interaction_minimum_confirmed_lmax,interaction_confirmed,external_scattered_rms,external_scattered_successive_change,external_scattered_absolute_change,external_scattered_change_applicable,external_scattered_minimum_confirmed_lmax,external_scattered_confirmed,scattered_scattered_rms,scattered_scattered_successive_change,scattered_scattered_absolute_change,scattered_scattered_change_applicable,scattered_scattered_minimum_confirmed_lmax,scattered_scattered_confirmed,source
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,2,21,6,3,1.252595633741499,2.4376883285450575e-17,7.8666548473085565e-18,9.4187735673994262e-17,0,0,1.1688981782766579:2.5981967655329892e-18:0;-1.1688981782766579:1.4552580440351267e-16:0,0:0:0;0:0:0,1.1688981782766579:2.5981967655329892e-18:0;-1.1688981782766579:1.4552580440351267e-16:0,1.1012681558070057:2.4508763303739021e-18:0;-1.1012681558070057:1.3707496853211415e-16:0,0.067630022469652107:1.4732043515908703e-19:0;-0.067630022469652107:8.450835871398537e-18:0,balanced_sqrt,true,true,1.1688981782766579,0,0,false,20,true,1.1688981782766579,0,0,false,20,true,1.1012681558070057,0,0,false,16,true,0.067630022469652107,0,0,false,0,false,t12
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,3,21,12,6,1.3808982993265744,2.302787441189425e-17,1.5642293497302477e-19,3.5341883666915787e-17,4.109159378404124e-34,0,1.3256610399914373:4.9641484297208664e-18:0;-1.3256610399914373:1.6842413935436402e-16:0,0:0:0;0:0:0,1.3256610399914373:4.9641484297208664e-18:0;-1.3256610399914373:1.6842413935436402e-16:0,1.1583748029910201:4.3157587790994282e-18:0;-1.1583748029910201:1.4712942716162644e-16:0,0.16728623700041714:6.4838965062143781e-19:0;-0.16728623700041714:2.1294712192737576e-17:0,balanced_sqrt,true,true,1.3256610399914373,0.11825259774986821,0.15676286171477938,true,20,true,1.3256610399914373,0.11825259774986821,0.15676286171477938,true,20,true,1.1583748029910201,0.049298937646572047,0.057106647184014481,true,16,true,0.16728623700041714,0.59572273438439849,0.099656214530765036,true,0,false,t12
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,4,21,20,10,1.4923123412949431,1.1201897131018948e-17,9.783932940943627e-22,5.5493952763691154e-17,0,0,1.4406635683119156:1.1896338953033912e-17:0;-1.4406635683119153:1.8613124643650809e-16:0,0:0:0;0:0:0,1.4406635683119156:1.1896338953033912e-17:0;-1.4406635683119153:1.8613124643650809e-16:0,1.1912578146218211:9.631135272427893e-18:0;-1.1912578146218209:1.536771020338153e-16:0,0.24940575369009452:2.2652036806060187e-18:0;-0.24940575369009452:3.2454144402692797e-17:0,balanced_sqrt,true,true,1.4406635683119156,0.079826082126329717,0.11500252832047819,true,20,true,1.4406635683119156,0.079826082126329717,0.11500252832047819,true,20,true,1.1912578146218211,0.027603606227959959,0.032883011630800874,true,16,true,0.24940575369009452,0.3292607146173423,0.082119516689677374,true,0,false,t12
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,5,21,30,15,1.5846956861782959,4.6109625681062938e-17,5.2560909100913126e-23,1.4632703437766967e-16,1.0391239639349075e-16,0,1.5109770471833026:1.458730117822895e-17:0;-1.5109770471833019:1.9981288581249469e-16:0,0:0:0;0:0:0,1.5109770471833026:1.458730117822895e-17:0;-1.5109770471833019:1.9981288581249469e-16:0,1.2077281905376389:1.1216261020791361e-17:0;-1.2077281905376385:1.5905899409177468e-16:0,0.30324885664566364:3.3710401574375886e-18:0;-0.30324885664566359:4.0753891720720031e-17:0,balanced_sqrt,true,true,1.5109770471833022,0.046535107202629038,0.070313478871386836,true,20,true,1.5109770471833022,0.046535107202629038,0.070313478871386836,true,20,true,1.2077281905376387,0.013637485689959461,0.016470375915817681,true,16,true,0.30324885664566364,0.17755418289501748,0.0538431029555691,true,0,false,t12
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,6,21,42,21,1.6588177353569011,1.779343214538463e-17,1.0489601164943057e-24,8.992700131722532e-17,0,0,1.5504857013814624:1.8344965020631023e-17:0;-1.5504857013814621:2.0609360571972169e-16:0,0:0:0;0:0:0,1.5504857013814624:1.8344965020631023e-17:0;-1.5504857013814621:2.0609360571972169e-16:0,1.2156289893417318:1.3150389607058549e-17:0;-1.2156289893417318:1.6036348332176545e-16:0,0.33485671203973044:5.1945754135724744e-18:0;-0.33485671203973033:4.5730122397956228e-17:0,balanced_sqrt,true,true,1.5504857013814621,0.025481469556899672,0.039508654198159965,true,20,true,1.5504857013814621,0.025481469556899672,0.039508654198159965,true,20,true,1.2156289893417318,0.0064993504378103289,0.0079007988040931121,true,16,true,0.33485671203973039,0.09439218106614071,0.031607855394066769,true,0,false,t12
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,7,21,56,28,1.7167336083843812,1.5549570251611403e-17,3.2839109297156111e-27,1.0504069035638526e-16,9.9897162063809863e-17,0,1.5717087715473537:1.8977864533618156e-17:0;-1.5717087715473534:2.0947692146813058e-16:0,0:0:0;0:0:0,1.5717087715473537:1.8977864533618156e-17:0;-1.5717087715473534:2.0947692146813058e-16:0,1.2192997778501216:1.3298158311749918e-17:0;-1.2192997778501216:1.6066077274645786e-16:0,0.35240899369723211:5.6797062218682374e-18:0;-0.352408993697232:4.881614872167272e-17:0,balanced_sqrt,true,true,1.5717087715473534,0.013503182364374741,0.021223070165891311,true,20,true,1.5717087715473534,0.013503182364374741,0.021223070165891311,true,20,true,1.2192997778501216,0.0030105709646417855,0.0036707885083897551,true,16,true,0.35240899369723205,0.0498065655855012,0.017552281657501667,true,0,false,t12
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,8,21,72,36,1.7609629025005884,1.1041945068007667e-17,5.9176404002387897e-29,5.5003718797557388e-17,1.1012503651768676e-32,0,1.5828851036440639:2.3347868086613987e-17:0;-1.5828851036440639:2.1513361688917541e-16:0,0:0:0;0:0:0,1.5828851036440639:2.3347868086613987e-17:0;-1.5828851036440639:2.1513361688917541e-16:0,1.2209852681437448:1.619614941989882e-17:0;-1.2209852681437448:1.6334322555708767e-16:0,0.36189983550031912:7.1517186667151686e-18:0;-0.36189983550031907:5.1790391332087722e-17:0,balanced_sqrt,true,true,1.5828851036440639,0.0070607349017187343,0.011176332096710317,true,20,true,1.5828851036440639,0.0070607349017187343,0.011176332096710317,true,20,true,1.2209852681437448,0.0013804345863940128,0.001685490293623193,true,16,true,0.36189983550031912,0.026225051442662708,0.0094908418030870412,true,0,false,t12
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,9,21,90,45,1.794046766290454,1.4988196796320787e-17,0,9.6557241286753327e-17,1.0971954140124768e-32,0,1.58873503858924:1.8748147958040215e-17:0;-1.58873503858924:2.1661049574042728e-16:0,0:0:0;0:0:0,1.58873503858924:1.8748147958040215e-17:0;-1.58873503858924:2.1661049574042728e-16:0,1.2217596135664524:1.2291398661803455e-17:0;-1.2217596135664524:1.6391869800175867e-16:0,0.36697542502278774:6.45674929623676e-18:0;-0.36697542502278757:5.2691797738668593e-17:0,balanced_sqrt,true,true,1.58873503858924,0.0036821337750382642,0.0058499349451761606,true,20,true,1.58873503858924,0.0036821337750382642,0.0058499349451761606,true,20,true,1.2217596135664524,0.00063379523607528675,0.00077434542270760076,true,16,true,0.36697542502278763,0.013830870342757658,0.0050755895224685599,true,0,false,t12
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,10,21,110,55,1.8183174877843125,3.777796768436577e-17,2.7414030182504392e-33,2.3251142001363067e-16,0,0,1.5917998139353338:1.1918783047282499e-17:0;-1.5917998139353342:2.1349779507580623e-16:0,0:0:0;0:0:0,1.5917998139353338:1.1918783047282499e-17:0;-1.5917998139353342:2.1349779507580623e-16:0,1.2221181209443275:6.7138665875213059e-18:0;-1.2221181209443277:1.609961363267898e-16:0,0.36968169299100634:5.2049164597611932e-18:0;-0.36968169299100651:5.2501658749016432e-17:0,balanced_sqrt,true,true,1.591799813935334,0.0019253522454667504,0.0030647753460939509,true,20,true,1.591799813935334,0.0019253522454667504,0.0030647753460939509,true,20,true,1.2221181209443275,0.00029334920392001167,0.00035850737787523901,true,16,true,0.36968169299100645,0.0073205355296958267,0.0027062679682187674,true,0,false,t12
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,11,21,132,66,1.8357943995407513,1.0856470087235538e-17,2.0914819740046831e-35,1.0577237944021628e-16,1.3674690323238292e-33,0,1.5934115848484667:2.6276849022061889e-17:0;-1.5934115848484667:2.1569425712938472e-16:0,0:0:0;0:0:0,1.5934115848484667:2.6276849022061889e-17:0;-1.5934115848484667:2.1569425712938472e-16:0,1.2222859950685865:1.7603804562293104e-17:0;-1.2222859950685865:1.6223166986378603e-16:0,0.3711255897798803:8.6730444597687832e-18:0;-0.37112558977988025:5.3462587265598703e-17:0,balanced_sqrt,true,true,1.5934115848484667,0.0010115220251056304,0.0016117709131326929,true,20,true,1.5934115848484667,0.0010115220251056304,0.0016117709131326929,true,20,true,1.2222859950685865,0.00013734438988599661,0.00016787412425889325,true,16,true,0.37112558977988025,0.0038905880613898129,0.0014438967888738552,true,0,false,t12
