distance_ratio,f1,ka,lmax,full_mode_count,active_mode_count,force_0_x,force_0_y,force_1_x,force_1_y,force_rms,successive_force_error,successive_error_applicable,minimum_confirmed_lmax,physical_residual,balanced_condition,raw_condition
2.0,0.4,0.1,11,144,66,0.21117365313152309,1.2041257986169065e-18,-0.21117365313152314,2.6970733796992667e-17,0.21117365313152311,0.00019870030912107878,true,9,2.9725500896986893e-16,1.464198535367087,4.2816714710160148e+33
2.0,0.8,0.1,1,4,1,0.79984269732562463,0,-0.79984269732562463,9.7958019514522209e-17,0.79984269732562463,0,false,0,3.3776370978199776e-16,1.1074593996749524,1.1074593996749524
2.0,0.8,0.1,3,16,6,0.90608812785528015,3.7723661383242942e-18,-0.90608812785528015,1.1540521290427209e-16,0.90608812785528015,0.1172572813431951,true,0,3.3985169455483675e-16,1.3861985989367793,6177.0105809135521
2.0,0.8,0.1,5,36,15,0.95485958579332231,7.9601416430712037e-18,-0.95485958579332231,1.2643040203473178e-16,0.95485958579332231,0.05107709935961062,true,0,2.1432646773123837e-16,1.666331278664912,79045446547.953171
2.0,0.8,0.1,7,64,28,0.97082454907026172,1.1754962341742666e-17,-0.97082454907026194,1.313142689102409e-16,0.97082454907026183,0.016444746161630167,true,0,1.0154598702954458e-16,1.9274241636219693,3.9193557726463114e+18
2.0,0.8,0.1,9,100,45,0.97607024553612243,1.5089464553297177e-17,-0.97607024553612243,1.3410986167346337e-16,0.97607024553612243,0.0053743021978703079,true,0,1.3743776662928137e-16,2.1667754975920426,5.7624073726374542e+26
2.0,0.8,0.1,11,144,66,0.97800038868409944,1.5729419523191476e-17,-0.97800038868409944,1.3322290653975023e-16,0.97800038868409944,0.0019735607166516821,true,0,9.4333460955885872e-17,2.3854503495874413,1.0457843128557621e+34
2.0,1.0,0.1,1,4,1,1.2667699926116314,0,-1.2667699926116314,1.5513294379849979e-16,1.2667699926116314,0,false,0,2.202407406250667e-16,1.1361531146565207,1.1361531146565207
2.0,1.0,0.1,3,16,6,1.4946889785480737,1.347273620830105e-17,-1.4946889785480733,1.9254785497696917e-16,1.4946889785480735,0.15248589452893432,true,0,2.1676696958516199e-16,1.5206933030430478,10304.849933105843
2.0,1.0,0.1,5,36,15,1.6155776956836616,2.2398423946300494e-17,-1.6155776956836614,2.2249662484000504e-16,1.6155776956836616,0.074826928756547187,true,0,3.3610375939390805e-16,1.9508583032004867,144520076609.8891
