geometry,particle,ka,f0,f1,d_min_over_a,a_x,a_y,b_x,b_y,c_x,c_y,delta2_x,delta2_y,collective_x,collective_y,phi3_sum_x,phi3_sum_y,up_to_three_x,up_to_three_y,phi4_x,phi4_y,phi3_012_x,phi3_012_y,phi3_013_x,phi3_013_y,phi3_023_x,phi3_023_y,phi3_123_x,phi3_123_y
linear_chain,0,0.1,0.0,0.8,2.1,0.673081360654679,0.0,0.7021853052163424,0.0,0.7410016700382743,0.0,0.02910394456166332,0.0,0.03881636482193196,0.0,0.03727662459009518,0.0,0.7394619298064375,0.0,0.0015397402318367837,0.0,0.031246716321924106,0.0,0.003799254635387883,0.0,0.002230653632783193,0.0,0.0,0.0
linear_chain,1,0.1,0.0,0.8,2.1,0.039957546122791704,0.0,0.04019284818508818,8.006173491782899e-17,0.06998202349087587,8.088132637050065e-17,0.00023530206229647327,8.006173491782899e-17,0.029789175305787695,8.1959145267166e-19,0.02998278511626904,7.97136892324476e-19,0.07017563330135722,8.085887181015347e-17,-0.00019360981048134607,2.2454560347183963e-20,-2.231666050108104e-17,6.287276897207196e-19,-0.0012639312056552665,1.6840920260375646e-19,0.0,0.0,0.031246716321924328,0.0
linear_chain,2,0.1,0.0,0.8,2.1,-0.039957546122791676,0.0,-0.04019284818508817,8.498349386392397e-17,-0.06998202349087597,8.948142298346614e-17,-0.00023530206229649409,8.498349386392397e-17,-0.0297891753057878,4.497929119542177e-18,-0.029982785116269336,4.460037048956324e-18,-0.07017563330135751,8.944353091288029e-17,0.00019360981048154036,3.789207058585291e-20,-0.031246716321924328,3.824292309127114e-18,0.0,0.0,0.0012639312056551555,7.017050108490366e-21,-1.6163109786292258e-16,6.287276897207196e-19
linear_chain,3,0.1,0.0,0.8,2.1,-0.673081360654679,0.0,-0.7021853052163424,8.599114225950315e-17,-0.7410016700382742,9.073887836290757e-17,-0.02910394456166332,8.599114225950315e-17,-0.03881636482193185,4.747736103404417e-18,-0.03727662459009496,4.561082570518581e-18,-0.7394619298064373,9.055222483002173e-17,-0.0015397402318368947,1.866535328858388e-19,0.0,0.0,-0.002230653632783193,2.7366495423111504e-19,-0.003799254635387661,4.631253071603518e-19,-0.031246716321924106,3.824292309127114e-18
square,0,0.1,0.0,0.8,2.1,0.7362142528262452,0.7362142528262452,0.7668690382044349,0.7668690382044349,0.8218481000644532,0.8218481000644532,0.030654785378189664,0.030654785378189664,0.05497906186001833,0.05497906186001833,0.05275143070549826,0.05275143070549798,0.8196204689099331,0.8196204689099329,0.002227631154520071,0.002227631154520293,0.03536662384320899,0.005461043135008892,0.011923763727280323,0.011923763727280101,0.005461043135008947,0.03536662384320899,0.0,0.0
square,1,0.1,0.0,0.8,2.1,-0.7362142528262452,0.7362142528262452,-0.7668690382044349,0.766869038204435,-0.8218481000644532,0.8218481000644532,-0.030654785378189664,0.030654785378189775,-0.05497906186001833,0.05497906186001822,-0.05275143070549801,0.052751430705497995,-0.8196204689099329,0.819620468909933,-0.002227631154520293,0.002227631154520182,-0.011923763727280101,0.011923763727280101,-0.03536662384320899,0.005461043135008906,0.0,0.0,-0.0054610431350089195,0.03536662384320899
square,2,0.1,0.0,0.8,2.1,-0.7362142528262452,-0.7362142528262452,-0.766869038204435,-0.7668690382044347,-0.8218481000644534,-0.8218481000644531,-0.030654785378189775,-0.030654785378189553,-0.05497906186001844,-0.05497906186001833,-0.05275143070549815,-0.05275143070549816,-0.8196204689099331,-0.8196204689099329,-0.002227631154520293,-0.002227631154520182,-0.005461043135008947,-0.03536662384320899,0.0,0.0,-0.03536662384320899,-0.005461043135008961,-0.011923763727280212,-0.011923763727280212
square,3,0.1,0.0,0.8,2.1,0.7362142528262452,-0.7362142528262452,0.7668690382044347,-0.7668690382044349,0.8218481000644529,-0.8218481000644532,0.030654785378189553,-0.030654785378189664,0.05497906186001811,-0.05497906186001833,0.05275143070549834,-0.052751430705498245,0.8196204689099331,-0.8196204689099331,0.002227631154519738,-0.002227631154520071,0.0,0.0,0.0054610431350089195,-0.0353666238432091,0.011923763727280434,-0.011923763727280212,0.03536662384320899,-0.005461043135008933
irregular,0,0.1,0.0,0.8,2.1,0.7396229675272804,0.29906828630841925,0.7704552590634572,0.30566900018232585,0.8082946943452195,0.3226000682788358,0.030832291536176837,0.006600713873906594,0.03783943528176226,0.01693106809650996,0.0366319939180071,0.016467994763673034,0.8070872529814643,0.3221369949459989,0.0012074413637551684,0.0004630733328369052,0.012873430480349057,0.004936539111258742,0.019771091509262373,0.0011801908716451495,0.003987471928395672,0.010351264780769143,0.0,0.0
irregular,1,0.1,0.0,0.8,2.1,-0.5959383461082004,0.4596971756801415,-0.6229892419901666,0.47113881892623966,-0.6457669671255071,0.49471866747294174,-0.027050895881966186,0.011441643246098143,-0.022777725135340487,0.023579848546702087,-0.02209008713208649,0.023128523747474955,-0.6450793291222531,0.49426734267371464,-0.0006876380032539986,0.0004513247992271041,-0.018103495686635607,0.0038041106497965493,-0.0049749146574037395,0.00311455156735968,0.0,0.0,0.0009883232119528573,0.016209861530318725
irregular,2,0.1,0.0,0.8,2.1,0.43893933085140024,-0.44401392784363247,0.4530716273763291,-0.45407879252978667,0.4730223188838932,-0.48229814003930405,0.014132296524928867,-0.010064864686154196,0.019950691507564067,-0.02821934750951738,0.019230383145639768,-0.02760191017146632,0.47230201052196885,-0.48168070270125296,0.0007203083619243267,-0.0006174373380510856,0.0009792224965348983,-0.01930048770345788,0.0,0.0,0.0032689550034367687,-0.0027801180805386294,0.0149822056456681,-0.005521304387469811
irregular,3,0.1,0.0,0.8,2.1,-0.5826239522704802,-0.3147515341449283,-0.6005376444496202,-0.3227290265787787,-0.6308499575806539,-0.3449859470334404,-0.01791369217913996,-0.00797749243385043,-0.030312313131033664,-0.022256920454661655,-0.02920333472506556,-0.021760503592003034,-0.6297409791746857,-0.34448953017078177,-0.0011089784059681307,-0.0004964168626586107,0.0,0.0,-0.007720185264856655,-0.01657224124032608,-0.011588875944092636,-4.672537956300732e-05,-0.00989427351611627,-0.005141536972113947
