f1,ell,is_rigid_limit,point_count,maximum_complex_relative_error,complex_relative_error_at_ka_0p1,magnitude_relative_error_at_ka_0p1,absolute_error_at_ka_0p1,asymptotic_relative_error_slope,relative_channel_physically_active_in_nodal_problem,maximum_pressure_boundary_residual,maximum_velocity_boundary_residual,maximum_unitarity_defect
0.10000000000000001,0,False,101,1,1,1,3.6990053798961005e-08,0,False,2.2204460492503131e-16,6.9388939039072284e-18,1.9721522630525295e-31
0.10000000000000001,1,False,101,0.0018021200413863723,0.0018021200413863723,0.0018020431086564169,2.9981306416489866e-08,2.0000011228383419,True,3.4694469519788577e-18,5.5511151237720176e-17,1.0339757656912846e-25
0.10000000000000001,2,False,101,0.0013715706395086744,0.0013715706395086744,0.0013715706394426084,1.8447030439898414e-11,2.0000005799550924,True,5.4210108624275222e-20,3.4694469519536142e-18,2.4651903288156619e-32
0.10000000000000001,3,False,101,0.001082694067344643,0.001082694067344643,0.001082694067344643,4.4783565577274017e-15,2.0000002571958677,True,1.6940658945086007e-21,1.0842021724855044e-19,7.3468396926392969e-40
0.10000000000000001,4,False,101,0.00089188258652556605,0.00089188258652556605,0.00089188258652556605,6.0884590546039931e-19,2.0000005701265091,True,1.3234889800848443e-23,8.4703294725430034e-22,8.7581154020301067e-47
0.10000000000000001,5,False,101,0.00075765321410618933,0.00075765321410618933,0.00075765321410618933,5.3520819622706381e-23,2.0000009644905661,True,1.0339757656912846e-25,6.6174449004242214e-24,4.0783152924990778e-56
0.40000000000000002,0,False,101,1,1,1,2.2211724694988882e-07,0,False,2.2204460492503141e-16,6.9388939039072284e-18,6.3108872417680944e-30
0.40000000000000002,1,False,101,0.0012045872800514213,0.0012045872800514213,0.001202743285126236,8.0209347416085733e-08,2.0000037153580137,True,3.469446952357511e-18,8.3266726847156001e-17,4.1359030627651384e-25
0.40000000000000002,2,False,101,0.0011901937878696668,0.0011901937878696668,0.0011901937865745934,6.604327281092579e-11,1.9999997828588545,True,1.0842021724855064e-19,3.4694469519536157e-18,3.944304526105059e-31
0.40000000000000002,3,False,101,0.00099023194555450497,0.00099023194555450497,0.00099023194555450476,1.7129910931066884e-14,2.0000002985076137,True,1.6940658945086007e-21,5.4210108624275222e-20,2.9387358770557188e-39
0.40000000000000002,4,False,101,0.00083518184620072467,0.00083518184620072467,0.00083518184620072467,2.4028647721604799e-18,2.0000003693837161,True,1.3234889800848443e-23,4.2351647362715017e-22,7.0064923216240854e-46
0.40000000000000002,5,False,101,0.00071919640965540732,0.00071919640965540732,0.00071919640965540732,2.151790870967313e-22,2.0000003986954686,True,1.0339757656912846e-25,6.6174449004242214e-24,5.2202435743988196e-54
0.80000000000000004,0,False,101,1,1,1,1.3391102505499301e-06,0,False,2.2204460492505655e-16,6.9388939039103838e-18,2.0194839173657902e-28
0.80000000000000004,1,False,101,0.00042193608732433199,0.00042193608732433199,0.00040032411612973736,5.6235632496703386e-08,2.0000547067397068,True,6.9388939039072284e-18,1.3877787824358068e-16,3.3087224502121107e-24
0.80000000000000004,2,False,101,0.0009292354332433193,0.0009292354332433193,0.0009292354260168759,1.0763742103067058e-10,1.9999974668871419,True,1.0842021724855044e-19,2.1684043449710093e-18,1.5777218104420236e-30
0.80000000000000004,3,False,101,0.00085278295134918873,0.00085278295134918873,0.00085278295134918786,3.1412215013289196e-14,1.999999677012759,True,1.6940658945086007e-21,4.0657581468206416e-20,1.88079096131566e-37
0.80000000000000004,4,False,101,0.00074929658740941017,0.00074929658740941017,0.00074929658740941017,4.6435912934945922e-18,2.0000000686750461,True,2.6469779601696886e-23,6.3527471044072525e-22,1.4012984643248171e-45
0.80000000000000004,5,False,101,0.00066022990618153251,0.00066022990618153251,0.00066022990618153251,4.2872187906252561e-22,2.0000002941615391,True,2.5849394142282115e-26,8.2718061255302767e-24,8.3523897190381114e-53
1,0,True,101,1,1,1,0.0003313475027748013,0,False,nan,3.4694473655438958e-18,1.3234889800848443e-23
1,1,True,101,0.0030243505842077237,0.0030243505842077237,0.0030197685851975466,5.0254087355853754e-07,2.000007870959251,True,nan,1.1102230246251565e-16,3.3087224502121107e-24
1,2,True,101,0.0019849844332680932,0.0019849844332680932,0.0019849844277505806,2.9348919640698859e-10,2.0000004182620574,True,nan,1.7347234759768071e-18,1.5777218104420236e-30
1,3,True,101,0.0014269515000392987,0.0014269515000392987,0.0014269515000392978,6.7853248136232282e-14,2.0000006898952178,True,nan,2.7105054312137611e-20,3.76158192263132e-37
1,4,True,101,0.0011110435337055588,0.0011110435337055588,0.0011110435337055588,8.947829566673847e-18,2.0000005692112133,True,nan,4.2351647362715017e-22,1.1210387714598537e-44
1,5,True,101,0.00090927217878515034,0.00090927217878515034,0.00090927217878515034,7.7065791362132301e-22,2.0000005553229023,True,nan,1.6543612251060553e-24,4.1761948595190557e-53
