response,expected_order,eta_exponent,eta_r_squared_log,eta_rmse_log,eta_max_abs_log_residual,lambda_exponent,lambda_r_squared_log,lambda_rmse_log,lambda_max_abs_log_residual,relative_rmse_reduction
Y3,1,0.9464098893914968,0.9881180078496571,0.16270474366899415,0.343368958567277,0.9477200372149447,0.9927091201707364,0.1274516770701454,0.2716098723293241,0.21666895386017415
Y4,2,1.917860338317407,0.9920672952487812,0.2688671716039741,0.5606023914972305,1.9207265477838105,0.996896030515444,0.16818445600557255,0.4160067894461079,0.37447009613617466
