predictor,tolerance,threshold,threshold_available,calibration_count_below,holdout_eligible,holdout_predicted_safe,holdout_coverage,false_safe_count,worst_safe_error,criterion_supported,holdout_total_convergence_coverage
rho_l1,0.01,0.0053990295322641655,true,75,137,48,0.35036496350364965,0,0.0071512632476809588,true,0.95138888888888884
rho_l1,0.050000000000000003,0.02000077753569526,true,117,137,86,0.62773722627737227,0,0.037566387337040742,true,0.95138888888888884
rho_l1,0.10000000000000001,0.039148878707303048,true,141,137,101,0.73722627737226276,0,0.052741968066889314,true,0.95138888888888884
