case_id,channel,final_lmax,confirmation_order,last_change,classification,q_median_last_four,q_minimum_last_four,q_maximum_last_four,q_count,oscillatory_last_five
n2_pair_f1.0_d2.1,total,21,20,1.8415635904820536e-06,directly_confirmed,0.5330705488007581,0.53267077107098582,0.53338875798075724,4,false
n2_pair_f1.0_d2.1,interaction,21,20,1.8415635904820536e-06,directly_confirmed,0.5330705488007581,0.53267077107098582,0.53338875798075724,4,false
n2_pair_f1.0_d2.1,external_scattered,21,16,1.1661592434607722e-07,directly_confirmed,0.50285462165974137,0.49987085721457469,0.50513979519758778,4,false
n2_pair_f1.0_d2.1,scattered_scattered,21,0,7.4980301855549266e-06,unconfirmed_at_21,0.53485101807646407,0.53415256438215419,0.53556057345983232,4,false
n3_compact_f0.8_d2.1,total,20,18,9.4189556242410392e-07,directly_confirmed,0.51718638371550107,0.49949551522774954,0.52348532330372943,4,false
n3_compact_f0.8_d2.1,interaction,20,18,9.4189556242410392e-07,directly_confirmed,0.51718638371550107,0.49949551522774954,0.52348532330372943,4,false
n3_compact_f0.8_d2.1,external_scattered,20,15,6.8541699022660394e-08,directly_confirmed,0.48657509748445793,0.46668963365417021,0.49249008204557038,4,false
n3_compact_f0.8_d2.1,scattered_scattered,20,20,3.7602193135187764e-06,directly_confirmed,0.51923884122288522,0.50200847692540818,0.5255547611576894,4,false
n3_irregular_f1.0_d2.1,total,21,19,1.4387093290296878e-06,directly_confirmed,0.53314366760204357,0.53268921104612454,0.53334526335811894,4,false
n3_irregular_f1.0_d2.1,interaction,21,19,1.4387093290296878e-06,directly_confirmed,0.53314366760204357,0.53268921104612454,0.53334526335811894,4,false
n3_irregular_f1.0_d2.1,external_scattered,21,16,8.6168636453953212e-08,directly_confirmed,0.50291961461451851,0.49984177283857639,0.50514939270894132,4,false
n3_irregular_f1.0_d2.1,scattered_scattered,21,0,5.9365194686364942e-06,unconfirmed_at_21,0.53484317957908778,0.53410334969492856,0.53541788028025628,4,false
n3_linear_f1.0_d2.1,total,21,19,2.4595075555941075e-06,directly_confirmed,0.72865636979656634,0.23085906226277292,1.2320453456263565,4,true
