geometry,particle_count,ka,f1,distance_ratio,lmax,full_modes_per_particle,active_modes_per_particle,total_force_rms,three_body_sum_rms,four_body_rms,successive_total_error,successive_three_body_error,three_body_change_over_total,successive_four_body_error,four_body_change_over_total,successive_error_applicable,four_body_applicable,max_physical_residual,max_balanced_condition,max_raw_condition
trimer_linear,3,0.1,0.8,2.1,1,4,1,0.59212729383476193,0.025512837042069733,0,0,0,0,0,0,false,false,2.2969713581391023e-16,1.1337125651997173,1.1337125651997175
trimer_linear,3,0.1,0.8,2.1,3,16,6,0.63660818485984338,0.018655855580473189,0,0.069871692012370881,0.36755116547823447,0.010771117344503178,0,0,true,false,3.9880700638034296e-16,1.3196374538444999,7567.847364438082
trimer_linear,3,0.1,0.8,2.1,5,36,15,0.64876793820132894,0.013615385450017949,0,0.018742839504673724,0.37020399818710947,0.0077692959741963346,0,0,true,false,2.6953918153724959e-16,1.4473926297973154,71554485951.648834
trimer_linear,3,0.1,0.8,2.1,7,64,28,0.65128139305314403,0.012502416596523444,0,0.0038592456020157318,0.0890202981881109,0.0017088909116181156,0,0,true,false,3.4358787287882803e-16,1.525789794554042,2.493501431527403e+18
trimer_linear,3,0.1,0.8,2.1,9,100,45,0.65176577010872638,0.012316605196778277,0,0.00074317657937390596,0.015086251185007685,0.0002850892272451979,0,0,true,false,5.9707825642227297e-16,1.5698772445656926,8.8734873238562578e+26
trimer_linear,3,0.1,0.8,2.1,11,144,66,0.65186069544447767,0.012287699923777285,0,0.0001456221189812437,0.0023523745843644548,4.4342714943537725e-05,0,0,true,false,3.1751035806633083e-16,1.5929237433840346,3.7596442040034334e+34
trimer_equilateral,3,0.1,0.8,2.1,1,4,1,1.1871679817853051,0.054813262793444256,0,0,0,0,0,0,false,false,2.1389942014852948e-16,1.1452194964198079,1.1452194964198079
trimer_equilateral,3,0.1,0.8,2.1,3,16,6,1.3673300546575691,0.12621172093420957,0,0.13176194895926821,0.56570386341521517,0.0522174276046658,0,0,true,false,3.9880740950469306e-16,1.4158986127125612,8608.6693679543714
trimer_equilateral,3,0.1,0.8,2.1,5,36,15,1.4065684122706954,0.12896521552311335,0,0.027896515569962064,0.021350676441976444,0.0019575973446315661,0,0,true,false,3.1862508114503107e-16,1.5492654546781763,72687766789.802338
trimer_equilateral,3,0.1,0.8,2.1,7,64,28,1.4151473374728878,0.12985135610618126,0,0.0060622134353249752,0.0068242689921798596,0.00062618256036177204,0,0,true,false,2.8582871675205572e-16,1.6192224098000407,2.7580273718798167e+18
trimer_equilateral,3,0.1,0.8,2.1,9,100,45,1.4169214261749137,0.13020376055729665,0,0.0012520727467684228,0.002706561236073607,0.00024871135731691996,0,0,true,false,4.6826013996361943e-16,1.6573874542350295,4.1317305219132154e+26
trimer_equilateral,3,0.1,0.8,2.1,11,144,66,1.4172208343963706,0.13024048439017002,0,0.00021126433805527173,0.00028196941254744968,2.5912569150899565e-05,0,0,true,false,4.4624583468625588e-16,1.67528601616983,3.7596442040034334e+34
trimer_scalene,3,0.1,0.8,2.1,1,4,1,0.77118099527166273,0.024017432345362574,0,0,0,0,0,0,false,false,2.8863825306578003e-16,1.1183385379499979,1.1183385379499979
trimer_scalene,3,0.1,0.8,2.1,3,16,6,0.84040200875161253,0.039626961209310467,0,0.083806034928719228,0.41796713942458169,0.019708148538754404,0,0,true,false,3.9880700638034296e-16,1.3056197138348056,4583.0243955643245
trimer_scalene,3,0.1,0.8,2.1,5,36,15,0.85705159958781518,0.039820152422915513,0,0.021339555430182414,0.016842426982289622,0.00078252932487278993,0,0,true,false,2.6953918153724959e-16,1.4349615086803034,38983976850.490807
trimer_scalene,3,0.1,0.8,2.1,7,64,28,0.86051027091488452,0.040038752649520004,0,0.0044980765968307673,0.0056745321498837932,0.00026403076968435076,0,0,true,false,2.9809227717891617e-16,1.5180460500710458,1.2817529551150758e+18
trimer_scalene,3,0.1,0.8,2.1,9,100,45,0.86111639772893012,0.040064060899102846,0,0.00080987374370344433,0.00066960793164946842,3.115399151947343e-05,0,0,true,false,4.6826013996361943e-16,1.5654695831003977,2.1772072381168394e+26
quartet_linear,4,0.1,0.8,2.1,1,4,1,0.52629884980464736,0.033826869084791641,0.00109733421076973,0,0,0,0,0,false,false,2.6879421270467904e-16,1.1560699504383731,1.1560699504383731
quartet_linear,4,0.1,0.8,2.1,3,16,6,0.56248504141691824,0.024275444379993169,0.00065066656870864988,0.06653692913807159,0.39430837476108388,0.01701736102344337,0.74995231413813246,0.00086752333485377766,true,true,4.2003571969216153e-16,1.3353224595066977,10149.492781251152
quartet_linear,4,0.1,0.8,2.1,5,36,15,0.57242517851343322,0.01809154896815586,0.00049247561314591092,0.019549108065109819,0.34552598680604402,0.010920379718980557,0.3584760240874354,0.00030840834118973888,true,true,3.3385376999983242e-16,1.4571740574299221,94818937378.457458
quartet_linear,4,0.1,0.8,2.1,7,64,28,0.57451319772683307,0.016752285860861929,0.00046976027968926014,0.0041187471609998774,0.081383451462240464,0.0023730679271310277,0.056195671560491878,4.5949326306224042e-05,true,true,4.9229931875043255e-16,1.5319109737011356,3.28743843641299e+18
quartet_linear,4,0.1,0.8,2.1,9,100,45,0.57491967250765774,0.016529702163463878,0.00046656838791017376,0.00077999788425369831,0.013742791086677591,0.00039512344840567429,0.0078330044440556527,6.3567702249875517e-06,true,true,8.0095240191298601e-16,1.5738518756989055,7.4667195987634845e+26
quartet_linear,4,0.1,0.8,2.1,11,144,66,0.57499992711727466,0.016495117448427403,0.00046605400032044423,0.00014935959940399736,0.002141940751586384,6.1446206510186536e-05,0.0011969511809958749,9.7016340312967032e-07,true,true,4.3144127273678186e-16,1.5957016808219031,3.7596442040034334e+34
quartet_linear,4,0.1,0.8,2.1,13,196,91,0.57501650790597947,0.016489624683457844,0.00046595981457034656,3.0172249220469435e-05,0.00034058515143335058,9.7668871113747096e-06,0.0002076031962182518,1.6822951251668223e-07,true,true,6.9842735101177197e-16,1.6063253001618631,5.5737289531704179e+40
quartet_square,4,0.1,0.8,2.1,1,4,1,1.1622687293217107,0.074601788738299993,0.0031503461906872252,0,0,0,0,0,false,false,2.8284776543611141e-16,1.1970690238295123,1.1970690238295125
quartet_square,4,0.1,0.8,2.1,3,16,6,1.3022293088819028,0.11924501764435841,0.0076608129551375814,0.10747767586367919,0.37438234140066418,0.034282156453988279,0.58877129501321335,0.0034636501679746814,true,true,3.9880700638034296e-16,1.3931597939481188,8339.9630086206853
quartet_square,4,0.1,0.8,2.1,5,36,15,1.335873660267781,0.12294597151801966,0.0076767914652159262,0.025185279406687414,0.030102278488391119,0.0027704370433648345,0.0020814047314876433,1.1961093742309008e-05,true,true,4.2034470541129737e-16,1.5070223120237332,83659702526.617081
quartet_square,4,0.1,0.8,2.1,7,64,28,1.3431570771910069,0.12384671143429903,0.0077731389264003598,0.0054226099440714591,0.0072730224795449997,0.00067061398221802146,0.01239492335036026,7.1732087646762105e-05,true,true,3.7654371744686319e-16,1.5740470427863091,2.5493938468966431e+18
quartet_square,4,0.1,0.8,2.1,9,100,45,1.3444454185582226,0.12396373207844942,0.0077835107377708674,0.00095826974411302194,0.00094399097371760429,8.7040085476951614e-05,0.0013325363990541103,7.7145648513056615e-06,true,true,7.0712366523429472e-16,1.6125567563208827,3.0841442435282862e+27
quartet_square,4,0.1,0.8,2.1,11,144,66,1.3446909112887886,0.12399209793827012,0.0077861530726479784,0.00018256443061011267,0.00022877151280083213,2.1094706287187127e-05,0.00033936333545672752,1.965012818133782e-06,true,true,6.3124607542019245e-16,1.6323186632569349,2.2792825644423861e+35
