sentinel_order,case_id,particle_count,family,stratum,rho_band,f1,distance_ratio,eta,lambda_max,rho_l1,epsilon_a_t08,final_lmax_e,state_source,interaction_confirmed,all_channels_confirmed,epsilon_a_e,epsilon_a_e_applicable,epsilon_a_e_reason,predicted_epsilon_a,prediction_factor,frozen_log_residual,diagnostics_pass,special_case,historical_t12_gate,t12_1_diagnostic_gate
18,n4_compact_f0.1_d2.1,4,compact,n4_compact,2,0.10000000000000001,2.1000000000000001,0.01079796998164345,0.025413598861821332,0.013024703240875866,0.02720198547300717,15,t12_1,true,true,0.047469690884079783,true,applicable,0.02139923438554342,2.2182892167464021,0.796736275714375,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
19,n4_compact_f0.4_d2.5,4,compact,n4_compact,3,0.40000000000000002,2.5,0.025600000000000008,0.06025096679918783,0.031187722478002788,0.051309822247318747,12,t12,true,true,0.093113854637331059,true,applicable,0.056349801310712197,1.65242560703812,0.50224427329652865,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
20,n4_compact_f1.0_d2.5,4,compact,n4_compact,4,1,2.5,0.064000000000000015,0.15062741699796955,0.077969306195006943,0.13089866191867758,13,t12,true,true,0.22991371391375678,true,applicable,0.15564991526087471,1.4771207136760296,0.39009472917104149,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
21,n4_irregular_f0.1_d3.0,4,irregular,n4_irregular,1,0.10000000000000001,3,0.003703703703703703,0.0073947416931323829,0.003408578045201502,0.0048333171860392371,10,t12,true,true,0.005814217887209692,true,applicable,0.0048398366577854868,1.2013252302341217,0.18342530596709938,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
22,n4_irregular_f0.1_d2.1,4,irregular,n4_irregular,2,0.10000000000000001,2.1000000000000001,0.01079796998164345,0.021559013682601699,0.0096526293793164769,0.019652505123895693,15,t12_1,true,true,0.034262829669591564,true,applicable,0.015350127680072396,2.2320876010739457,0.80293729154187599,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
23,n4_irregular_f0.8_d3.0,4,irregular,n4_irregular,3,0.80000000000000004,3,0.029629629629629624,0.059157933545059063,0.027268624361612016,0.038014114646103991,11,t12,true,true,0.071739929807540015,true,applicable,0.048553850050954431,1.4775332899914868,0.39037400134140476,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
24,n4_irregular_f0.8_d2.1,4,irregular,n4_irregular,4,0.80000000000000004,2.1000000000000001,0.086383759853147599,0.17247210946081359,0.077221035034531815,0.16428874005152094,20,t12_1,true,true,0.30481333880150036,true,applicable,0.15399441145236142,1.9793792250428202,0.68278327284227891,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
25,n4_linear_f0.1_d3.0,4,linear,n4_linear,1,0.10000000000000001,3,0.003703703703703703,0.0078703703703703696,0.0034000806868721262,0.0049999181987164364,11,t12,true,true,0.0053580309428356964,true,applicable,0.004826459743865091,1.1101368761329222,0.10448331955342471,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
26,n4_linear_f0.1_d2.1,4,linear,n4_linear,2,0.10000000000000001,2.1000000000000001,0.01079796998164345,0.022945686210992324,0.0096598744644465964,0.02033612921808441,15,t12_1,true,true,0.03597361579544673,true,applicable,0.015362903862403037,2.3415895925433334,0.85083001179364448,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
27,n4_linear_f0.8_d3.0,4,linear,n4_linear,3,0.80000000000000004,3,0.029629629629629624,0.062962962962962957,0.027200645494976996,0.038653605407747274,11,t12,true,true,0.067803701206462993,true,applicable,0.048419651168107675,1.4003343595156446,0.33671103633175292,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
28,n4_linear_f0.8_d2.1,4,linear,n4_linear,4,0.80000000000000004,2.1000000000000001,0.086383759853147599,0.18356548968793859,0.077278995715572771,0.17092908757059053,21,t12_1,true,true,0.32107255656035255,true,applicable,0.15412258372034648,2.0832284848204643,0.73391884652756278,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
