scale_order,case_id,particle_count,family,target_level,f1,distance_ratio,minimum_distance,cluster_diameter,k_cluster_diameter,lambda_max,rho_l1,final_lmax,stop_reason,interaction_confirmed,total_confirmed,external_scattered_confirmed,scattered_scattered_confirmed,diagnostics_pass,error_applicable,eligible,ineligibility_reason,epsilon_a_e,m1_point_prediction,m1_conservative_prediction,p3_point_prediction,p3_conservative_prediction,m1_log_residual,final_system_dimension,case_wall_seconds,peak_memory_kib,maximum_balanced_condition,maximum_backward_error,maximum_incident_closure_error,maximum_scattering_closure_error,maximum_force_decomposition_residual,maximum_abs_fz
13,t14_n28_linear_level1,28,linear,1,0.80000000000000004,8.5127045015070451,8.5127045015070451,229.84302154069022,22.984302154069024,0.0031111241226691659,0.0019594472290782126,7,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.0023179508669289835,0.0014863937048093029,0.0038199876936037356,0.0020707870439023879,0.0042377455962362975,-0.44433069449678442,784,44.405355155933648,392996,1.0033449252691837,4.4761509749016044e-17,2.5415065320484009e-17,2.9110949742861736e-16,8.6114797645463278e-37,0
14,t14_n28_linear_level2,28,linear,2,0.80000000000000004,5.5694957867354855,5.5694957867354802,150.37638624185811,15.037638624185812,0.011108933664494053,0.0063774699025836937,8,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.009535602102376816,0.008700754117209825,0.022360679774997894,0.011098516696036358,0.022712470793109767,-0.09162268156799723,1008,56.590240435907617,428396,1.0110999800322449,4.5546172209136761e-17,1.8333035208936238e-17,3.5408949499287397e-16,8.2794597278760344e-17,0
15,t14_n28_linear_level3,28,linear,3,0.80000000000000004,4.224450011000374,4.2244500110003713,114.0601502970101,11.40601502970101,0.025457132710914935,0.0139851492359212,9,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.022647221477757568,0.027514200371470718,0.070710678118654849,0.033916837059368966,0.069408840136330321,0.19466507619958989,1260,120.73446848092135,569404,1.025050601911395,4.1128850094087877e-17,2.1218411626738976e-17,3.5892977720581892e-16,1.0898966780376356e-19,0
16,t14_n28_linear_level4,28,linear,4,0.80000000000000004,3.0852437812391069,3.0852437812391056,83.301582093455892,8.3301582093455888,0.065350897425260776,0.034599584965886145,11,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.064132119071037039,0.10186146774330712,0.26178094805761304,0.12305278131873144,0.25182038089024428,0.46266841479007326,1848,342.35916343110148,1032216,1.0685477306640647,4.3816555081133013e-17,2.2449512852810877e-17,4.3317865725768596e-16,7.7652005501473745e-18,0
17,t14_n28_compact_level1,28,compact,1,0.80000000000000004,12.875522955828686,12.875522955828684,77.253137734972142,7.7253137734972146,0.0031111241226691659,0.0018697895271108194,6,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.0018318315752920309,0.0014863937048093029,0.0038199876936037356,0.0019373028635252714,0.0039645779621109017,-0.20896347326581705,588,37.822614036034793,1032216,1.0020754774837535,4.2249624850826553e-17,3.0321381739839004e-17,2.8438017974145169e-16,3.3726504309714805e-37,0
18,t14_n28_compact_level2,28,compact,2,0.80000000000000004,8.4238999300173862,8.4238999300173845,50.543399580104342,5.0543399580104342,0.011108933664494062,0.0059868595547839919,6,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.010053757118429858,0.0087007541172098354,0.022360679774997921,0.01014411378090737,0.020759340575044909,-0.14453670523008305,588,59.773117224918678,1032216,1.0074986752407684,3.6833921118292679e-17,2.7804557210274238e-17,2.5514706015798922e-16,3.2016487627513946e-17,0
19,t14_n28_compact_level3,28,compact,3,0.80000000000000004,6.3895091251853957,6.3895091251853948,38.337054751112383,3.8337054751112385,0.025457132710914921,0.012697080547770712,7,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.023319834353681092,0.027514200371470694,0.070710678118654779,0.029560810293685562,0.06049448397512168,0.16539799026996896,784,91.899953743908554,1032216,1.0165124743089913,3.7222498280082348e-17,2.2505546178508432e-17,2.8852193806429617e-16,0,0
20,t14_n28_compact_level4,28,compact,4,0.80000000000000004,4.6664520215213932,4.6664520215213932,27.998712129128368,2.7998712129128371,0.065350897425260804,0.030110966774897965,8,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.057686439450237846,0.10186146774330716,0.26178094805761315,0.10098105359251489,0.20665187008247152,0.56859160307104362,1008,130.55945149506442,1032216,1.0409830661948964,3.6287391322023686e-17,4.3959062890908256e-17,3.200695065066576e-16,2.6501984101561174e-17,0
21,t14_n28_irregular_level1,28,irregular,1,0.80000000000000004,9.410950612068584,9.410950612068584,89.494626361208589,8.9494626361208596,0.0031111241226691659,0.0015386174149098438,6,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.001895416890670808,0.0014863937048093029,0.0038199876936037356,0.0014680909831406342,0.003004363059445383,-0.2430859555403764,588,65.841535555082373,1032216,1.0021321476737011,3.5206432785026382e-17,2.3962908619273316e-17,2.9258111654084144e-16,4.9211854149713167e-19,0
22,t14_n28_irregular_level2,28,irregular,2,0.80000000000000004,6.1571795160765381,6.1571795160765372,58.552478165543803,5.8552478165543809,0.011108933664494055,0.0051534135702409169,7,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.010147751200979502,0.0087007541172098267,0.022360679774997897,0.0081958456207138521,0.016772322769202073,-0.15384242234368123,784,140.93793826794717,1032216,1.0075122512527832,3.7822473309004958e-17,2.6236901922094351e-17,2.8738408424793882e-16,3.1119933340161373e-18,0
23,t14_n28_irregular_level3,28,irregular,3,0.80000000000000004,4.6702067961643561,4.6702067961643561,44.411922820667769,4.4411922820667771,0.025457132710914925,0.011112295264956829,8,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.024518535974590885,0.0275142003714707,0.070710678118654793,0.024453708180943123,0.050043095672528293,0.11527284665307705,1008,273.93114023702219,1032216,1.0171081412472915,3.9096345637488964e-17,2.2871130241309737e-17,3.1771774326870598e-16,3.3849403892107727e-17,0
24,t14_n28_irregular_level4,28,irregular,4,0.80000000000000004,3.4107934612663633,3.4107934612663624,32.435372258763906,3.2435372258763908,0.065350897425260762,0.026625715084613505,10,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.06490276720920074,0.10186146774330709,0.26178094805761298,0.084768996825267201,0.17347483607811195,0.45072346992323692,1540,864.97551981580909,1032216,1.045871315051919,3.4228857133340452e-17,2.8673293217743201e-17,2.8134724309926714e-16,3.8160762896043203e-17,0
