case_id,particle,lmax,decomposition_residual,scattered_scattered_over_interaction_rms,ratio_applicable,total_x,total_y,total_z,external_x,external_y,external_z,interaction_x,interaction_y,interaction_z,external_scattered_x,external_scattered_y,external_scattered_z,scattered_scattered_x,scattered_scattered_y,scattered_scattered_z
dimer_axis,0,9,0,0.062653377748469685,true,0.35488509498524234,5.1915526881888615e-19,0,0,0,0,0.35488509498524234,5.1915526881888615e-19,0,0.33265034507183039,4.6613554369752617e-19,0,0.022234749913411934,5.3019725121360015e-20,0
dimer_axis,1,9,0,0.062653377748469685,true,-0.35488509498524234,4.4066678168549196e-17,0,0,0,0,-0.35488509498524234,4.4066678168549196e-17,0,-0.33265034507183039,4.1305462611602177e-17,0,-0.022234749913411934,2.7612155569470203e-18,0
dimer_diagonal,0,9,0,0.0043557807118285467,true,0.0084555499652802599,0.0084555499652802547,0,0,0,0,0.0084555499652802599,0.0084555499652802547,0,0.0084187194438335895,0.0084187194438335843,0,3.6830521446670272e-05,3.6830521446670272e-05,0
dimer_diagonal,1,9,0,0.0043557807118285467,true,-0.0084555499652802617,-0.0084555499652802565,0,0,0,0,-0.0084555499652802617,-0.0084555499652802565,0,-0.0084187194438335913,-0.0084187194438335861,0,-3.6830521446670292e-05,-3.6830521446670278e-05,0
dimer_rigid,0,9,0,0.034793746092561868,true,0.25220422904642714,1.7742151466015133e-19,0,0,0,0,0.25220422904642714,1.7742151466015133e-19,0,0.24342909913751545,1.7095303394476251e-19,0,0.0087751299089117007,6.4684807153888162e-21,0
dimer_rigid,1,9,0,0.034793746092561868,true,-0.2522042290464272,3.104978699484004e-17,0,0,0,0,-0.2522042290464272,3.104978699484004e-17,0,-0.24342909913751548,2.9971150421383598e-17,0,-0.0087751299089117059,1.0786365734564421e-18,0
trimer_equilateral,0,9,0,0.046018717421433347,true,0.24985959200233043,0.14425650270215562,0,0,0,0,0.24985959200233043,0.14425650270215562,0,0.23836137404294055,0.13761800346810088,0,0.011498217959389875,0.0066384992340547313,0
trimer_equilateral,1,9,0,0.046018717421433347,true,-0.24985959200233052,0.14425650270215559,0,0,0,0,-0.24985959200233052,0.14425650270215559,0,-0.23836137404294064,0.13761800346810085,0,-0.01149821795938988,0.0066384992340547322,0
trimer_equilateral,2,9,0,0.046018717421433347,true,-2.0504670883655143e-16,-0.28851300540431124,0,0,0,0,-2.0504670883655143e-16,-0.28851300540431124,0,-1.9541346809228909e-16,-0.27523600693620176,0,-9.6332407442623314e-18,-0.013276998468109468,0
trimer_scalene,0,9,5.4427923000183058e-17,0.05081820548339358,true,0.29660947260623494,0.15294225724115459,0,0,0,0,0.29660947260623494,0.15294225724115459,0,0.27987549730802735,0.14589023261393474,0,0.016733975298207564,0.0070520246272198356,0
trimer_scalene,1,9,5.4427923000183058e-17,0.05081820548339358,true,-0.30567469825372484,0.070951185141447048,0,0,0,0,-0.30567469825372484,0.070951185141447048,0,-0.28943931962304525,0.068149748133228646,0,-0.01623537863067959,0.0028014370082184033,0
trimer_scalene,2,9,5.4427923000183058e-17,0.05081820548339358,true,0.0090652260650531391,-0.22389344273341094,0,0,0,0,0.0090652260650531391,-0.22389344273341094,0,0.008963771673373323,-0.2155045314767586,0,0.00010145439167981592,-0.0083889112566523337,0
quartet_irregular,0,9,0,0.045795097851548554,true,0.26191331692353104,0.10373289302260683,0,0,0,0,0.26191331692353104,0.10373289302260683,0,0.2488087972736242,0.099740259325521483,0,0.013104519649906823,0.0039926336970853484,0
quartet_irregular,1,9,0,0.045795097851548554,true,-0.21220926751099611,0.16001547866476651,0,0,0,0,-0.21220926751099611,0.16001547866476651,0,-0.20058117334857373,0.15329838534610599,0,-0.011628094162422378,0.0067170933186605107,0
quartet_irregular,2,9,0,0.045795097851548554,true,0.15280567507258708,-0.15439850433367366,0,0,0,0,0.15280567507258708,-0.15439850433367366,0,0.14642167263493638,-0.14859917914038726,0,0.0063840024376506811,-0.0057993251932864139,0
quartet_irregular,3,9,0,0.045795097851548554,true,-0.20250972473301265,-0.10934986710057558,0,0,0,0,-0.20250972473301265,-0.10934986710057558,0,-0.19442118888392557,-0.1052504991729299,0,-0.0080885358490870949,-0.0040993679276456708,0
