scale_order,case_id,particle_count,family,target_level,particle_index,lambda_i,lambda_i_over_max,is_first_argmax,local_coupling_sha256
1,t14_1_n45_linear_level1,45,linear,1,32,0.0031089303694034568,0.99929486797080092,false,482f5077b88e5c561e9273886fa427eda1d951dd444823293c443e2a82f52e3d
1,t14_1_n45_linear_level1,45,linear,1,33,0.0031082169023223089,0.99906554022526062,false,482f5077b88e5c561e9273886fa427eda1d951dd444823293c443e2a82f52e3d
1,t14_1_n45_linear_level1,45,linear,1,34,0.0031072767911339452,0.99876336289279299,false,482f5077b88e5c561e9273886fa427eda1d951dd444823293c443e2a82f52e3d
1,t14_1_n45_linear_level1,45,linear,1,35,0.0031060118514847999,0.99835677684888424,false,482f5077b88e5c561e9273886fa427eda1d951dd444823293c443e2a82f52e3d
1,t14_1_n45_linear_level1,45,linear,1,36,0.0031042630030777701,0.99779464935474582,false,482f5077b88e5c561e9273886fa427eda1d951dd444823293c443e2a82f52e3d
1,t14_1_n45_linear_level1,45,linear,1,37,0.0031017589877867131,0.99698979066305571,false,482f5077b88e5c561e9273886fa427eda1d951dd444823293c443e2a82f52e3d
1,t14_1_n45_linear_level1,45,linear,1,38,0.0030980066515965505,0.9957836876462004,false,482f5077b88e5c561e9273886fa427eda1d951dd444823293c443e2a82f52e3d
1,t14_1_n45_linear_level1,45,linear,1,39,0.0030920324335126908,0.99386341129324851,false,482f5077b88e5c561e9273886fa427eda1d951dd444823293c443e2a82f52e3d
1,t14_1_n45_linear_level1,45,linear,1,40,0.0030816914928819285,0.99053955142040928,false,482f5077b88e5c561e9273886fa427eda1d951dd444823293c443e2a82f52e3d
1,t14_1_n45_linear_level1,45,linear,1,41,0.0030614736102216843,0.98404097345853148,false,482f5077b88e5c561e9273886fa427eda1d951dd444823293c443e2a82f52e3d
1,t14_1_n45_linear_level1,45,linear,1,42,0.0030135226779719822,0.96862823826731603,false,482f5077b88e5c561e9273886fa427eda1d951dd444823293c443e2a82f52e3d
1,t14_1_n45_linear_level1,45,linear,1,43,0.0028516455723034068,0.9165965290567899,false,482f5077b88e5c561e9273886fa427eda1d951dd444823293c443e2a82f52e3d
1,t14_1_n45_linear_level1,45,linear,1,44,0.0015565136132680659,0.50030585469944777,false,482f5077b88e5c561e9273886fa427eda1d951dd444823293c443e2a82f52e3d
2,t14_1_n45_linear_level2,45,linear,2,0,0.0055578645518141491,0.50030585469944622,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,1,0.010182410038397378,0.91659652905679012,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,2,0.010760426844467359,0.96862823826731637,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,3,0.010931645897294983,0.9840409734585317,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,4,0.011003838168787026,0.99053955142040939,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,5,0.011040762707624474,0.99386341129324896,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,6,0.011062094930246945,0.99578368764620373,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,7,0.011075493448653703,0.99698979066305593,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,8,0.011084434570468978,0.99779464935474593,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,9,0.011090679207512348,0.99835677684888413,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,10,0.011095195944903021,0.99876336289279122,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,11,0.011098552812844333,0.99906554022526028,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,12,0.011101100399556979,0.99929486797080147,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,13,0.011103064229180986,0.99947164728043802,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,14,0.011104594344158683,0.99960938462084425,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,15,0.011105793314471009,0.99971731309971879,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,16,0.011106732748889382,0.99980187876972326,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,17,0.011107463378717793,0.99986764834315633,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,18,0.01110802139449121,0.9999178796065944,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,19,0.0111084325125346,0.99995488748294026,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,20,0.011108714613120945,0.99998028151218421,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,21,0.011108879441889215,0.99999511900903559,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,22,0.011108933664494058,1.0000000000000002,true,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,23,0.011108879441889215,0.99999511900903559,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,24,0.011108714613120942,0.99998028151218388,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,25,0.011108432512534598,0.99995488748294004,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,26,0.011108021394491211,0.99991787960659451,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,27,0.011107463378717795,0.99986764834315656,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,28,0.011106732748889382,0.99980187876972326,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
