schema_version,campaign_id,manifest_sha256,case_order,case_id,classification,evidence_role,eligible,include_in_scientific_tables,metric,value,unit,applicable,reason
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,6,p1_dimer_ka005_fluid_f000_f1010_d0600_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.00031928377401057825,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,6,p1_dimer_ka005_fluid_f000_f1010_d0600_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,6,p1_dimer_ka005_fluid_f000_f1010_d0600_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7,p1_dimer_ka005_fluid_f000_f1010_d0800_t000,confirmatory_new,primary,true,true,be_minus_a_rms,3.1085816843987664e-08,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7,p1_dimer_ka005_fluid_f000_f1010_d0800_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.0006577156180651878,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7,p1_dimer_ka005_fluid_f000_f1010_d0800_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7,p1_dimer_ka005_fluid_f000_f1010_d0800_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,8,p1_dimer_ka005_fluid_f000_f1010_d1000_t000,confirmatory_new,primary,true,true,be_minus_a_rms,1.5202828637558277e-08,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,8,p1_dimer_ka005_fluid_f000_f1010_d1000_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.00077301937292118114,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,8,p1_dimer_ka005_fluid_f000_f1010_d1000_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,8,p1_dimer_ka005_fluid_f000_f1010_d1000_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,9,p1_dimer_ka005_fluid_f000_f1040_d0210_t000,confirmatory_new,primary,true,true,be_minus_a_rms,0.026464247377756739,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,9,p1_dimer_ka005_fluid_f000_f1040_d0210_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.14554730529162471,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,9,p1_dimer_ka005_fluid_f000_f1040_d0210_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,9,p1_dimer_ka005_fluid_f000_f1040_d0210_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,10,p1_dimer_ka005_fluid_f000_f1040_d0225_t000,confirmatory_new,primary,true,true,be_minus_a_rms,0.012940987301124252,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,10,p1_dimer_ka005_fluid_f000_f1040_d0225_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.098886675779102901,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,10,p1_dimer_ka005_fluid_f000_f1040_d0225_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,10,p1_dimer_ka005_fluid_f000_f1040_d0225_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,11,p1_dimer_ka005_fluid_f000_f1040_d0250_t000,confirmatory_new,primary,true,true,be_minus_a_rms,0.0047906552326747939,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,11,p1_dimer_ka005_fluid_f000_f1040_d0250_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.058280277647450453,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,11,p1_dimer_ka005_fluid_f000_f1040_d0250_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,11,p1_dimer_ka005_fluid_f000_f1040_d0250_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,12,p1_dimer_ka005_fluid_f000_f1040_d0300_t000,confirmatory_new,primary,true,true,be_minus_a_rms,0.00098960611897697115,a2e0,true,scientific_magnitude_not_a_gate
