schema_version,campaign_id,case_order,case_id,series_id,point_order,x_name,x_value,x_unit,y_name,y_value,y_unit,eligible,applicable,reason,annotation
1.0.0,p1_dimer_confirmatory_r2,20,p1_dimer_ka005_fluid_f000_f1060_d0300_t000,ka=0.050000000000000003;material=fluid_f000_f1060,20,distance_ratio,3,1,epsilon_a_e,0.039410423177217623,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,21,p1_dimer_ka005_fluid_f000_f1060_d0400_t000,ka=0.050000000000000003;material=fluid_f000_f1060,21,distance_ratio,4,1,epsilon_a_e,0.01278105688146638,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,22,p1_dimer_ka005_fluid_f000_f1060_d0600_t000,ka=0.050000000000000003;material=fluid_f000_f1060,22,distance_ratio,6,1,epsilon_a_e,0.0029583806563181539,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,23,p1_dimer_ka005_fluid_f000_f1060_d0800_t000,ka=0.050000000000000003;material=fluid_f000_f1060,23,distance_ratio,8,1,epsilon_a_e,0.0009781942654220532,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,24,p1_dimer_ka005_fluid_f000_f1060_d1000_t000,ka=0.050000000000000003;material=fluid_f000_f1060,24,distance_ratio,10,1,epsilon_a_e,0.00031354655172090708,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,25,p1_dimer_ka005_fluid_f020_f1060_d0210_t000,ka=0.050000000000000003;material=fluid_f020_f1060,25,distance_ratio,2.1000000000000001,1,epsilon_a_e,0.22276796637187998,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,26,p1_dimer_ka005_fluid_f020_f1060_d0225_t000,ka=0.050000000000000003;material=fluid_f020_f1060,26,distance_ratio,2.25,1,epsilon_a_e,0.15007576543596865,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,27,p1_dimer_ka005_fluid_f020_f1060_d0250_t000,ka=0.050000000000000003;material=fluid_f020_f1060,27,distance_ratio,2.5,1,epsilon_a_e,0.088221207753371236,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,28,p1_dimer_ka005_fluid_f020_f1060_d0300_t000,ka=0.050000000000000003;material=fluid_f020_f1060,28,distance_ratio,3,1,epsilon_a_e,0.039044159733047021,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,29,p1_dimer_ka005_fluid_f020_f1060_d0400_t000,ka=0.050000000000000003;material=fluid_f020_f1060,29,distance_ratio,4,1,epsilon_a_e,0.012407938835564068,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,30,p1_dimer_ka005_fluid_f020_f1060_d0600_t000,ka=0.050000000000000003;material=fluid_f020_f1060,30,distance_ratio,6,1,epsilon_a_e,0.0025830090307546022,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,31,p1_dimer_ka005_fluid_f020_f1060_d0800_t000,ka=0.050000000000000003;material=fluid_f020_f1060,31,distance_ratio,8,1,epsilon_a_e,0.00060240588206199796,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,32,p1_dimer_ka005_fluid_f020_f1060_d1000_t000,ka=0.050000000000000003;material=fluid_f020_f1060,32,distance_ratio,10,1,epsilon_a_e,6.2376926345122924e-05,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,33,p1_dimer_ka005_fluid_f000_f1080_d0210_t000,ka=0.050000000000000003;material=fluid_f000_f1080,33,distance_ratio,2.1000000000000001,1,epsilon_a_e,0.30432632922523778,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,34,p1_dimer_ka005_fluid_f000_f1080_d0225_t000,ka=0.050000000000000003;material=fluid_f000_f1080,34,distance_ratio,2.25,1,epsilon_a_e,0.20323314842170592,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
