schema_version,campaign_id,manifest_sha256,git_commit,manifest_git_commit,case_order,case_id,attempt_state,attempt_count,started_utc,completed_utc,attempted_lmax,evaluated_lmax,final_lmax,effective_wall_seconds,wall_seconds_debited,case_wall_seconds,peak_rss_bytes,model_e_solve_count,wall_seconds_per_case,peak_rss_bytes_per_case,wall_seconds_campaign,worker_count,blas_threads,final_diagnostics_json,converged,eligible,failure_stage,failure_reason
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,81,p1_dimer_ka010_fluid_f000_f1080_d0210_t000,completed,1,2026-08-20T20:45:46.234696Z,2026-08-20T20:46:11.177546Z,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,20,1800,24.94284056907054,24.94284056907054,325238784,19,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":210,""balanced_backward_error"":3.448055587643356e-17,""balanced_condition_number"":1.60972397079146,""effective_incident_closure_error"":1.0008397728773083e-55,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":441,""fz_tolerance"":2.558091505026304e-14,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.2030285958027073e-16,""system_dimension"":420}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,82,p1_dimer_ka010_fluid_f000_f1080_d0225_t000,completed,1,2026-08-20T20:46:11.181726Z,2026-08-20T20:46:11.249160Z,2;3;4;5;6;7;8;9;10;11;12;13;14;15,2;3;4;5;6;7;8;9;10;11;12;13;14;15,15,1800,0.067422347026877105,0.067422347026877105,325238784,14,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":120,""balanced_backward_error"":1.5182458885854515e-17,""balanced_condition_number"":1.2805282190813534,""effective_incident_closure_error"":6.161906070990081e-43,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":256,""fz_tolerance"":1.6962186046945708e-14,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.238672764630409e-16,""system_dimension"":240}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,83,p1_dimer_ka010_fluid_f000_f1080_d0250_t000,completed,1,2026-08-20T20:46:11.253030Z,2026-08-20T20:46:11.292212Z,2;3;4;5;6;7;8;9;10;11;12;13,2;3;4;5;6;7;8;9;10;11;12;13,13,1800,0.039170509902760386,0.039170509902760386,325238784,12,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":91,""balanced_backward_error"":3.016865351934947e-17,""balanced_condition_number"":1.1329944902350995,""effective_incident_closure_error"":1.401611126493916e-37,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":196,""fz_tolerance"":1.0086518333588607e-14,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.2981112835898248e-16,""system_dimension"":182}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,84,p1_dimer_ka010_fluid_f000_f1080_d0300_t000,completed,1,2026-08-20T20:46:11.295756Z,2026-08-20T20:46:11.318978Z,2;3;4;5;6;7;8;9;10;11,2;3;4;5;6;7;8;9;10;11,11,1800,0.023211878957226872,0.023211878957226872,325238784,10,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":66,""balanced_backward_error"":3.138009980823027e-17,""balanced_condition_number"":1.0531030048333399,""effective_incident_closure_error"":2.1851591406832074e-32,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":144,""fz_tolerance"":4.543420564461191e-15,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.1643830948459428e-16,""system_dimension"":132}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,85,p1_dimer_ka010_fluid_f000_f1080_d0400_t000,completed,1,2026-08-20T20:46:11.322438Z,2026-08-20T20:46:11.336581Z,2;3;4;5;6;7;8;9,2;3;4;5;6;7;8;9,9,1800,0.014133878983557224,0.014133878983557224,325238784,8,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":45,""balanced_backward_error"":6.560526963357178e-18,""balanced_condition_number"":1.0174432422288238,""effective_incident_closure_error"":4.387326873829926e-27,""finite"":true,""force_decomposition_residual"":5.394394328036828e-36,""full_modes_per_particle"":100,""fz_tolerance"":1.4014029647032401e-15,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.5862067049419032e-16,""system_dimension"":90}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,86,p1_dimer_ka010_fluid_f000_f1080_d0600_t000,completed,1,2026-08-20T20:46:11.339924Z,2026-08-20T20:46:11.351219Z,2;3;4;5;6;7;8,2;3;4;5;6;7;8,8,1800,0.011285468004643917,0.011285468004643917,325238784,7,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":36,""balanced_backward_error"":1.927026060274423e-17,""balanced_condition_number"":1.0047546208661533,""effective_incident_closure_error"":3.4010009346057434e-23,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":81,""fz_tolerance"":2.8297642010256155e-16,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.3078486806654678e-16,""system_dimension"":72}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,87,p1_dimer_ka010_fluid_f000_f1080_d0800_t000,completed,1,2026-08-20T20:46:11.354043Z,2026-08-20T20:46:11.363056Z,2;3;4;5;6;7,2;3;4;5;6;7,7,1800,0.0090042810188606381,0.0090042810188606381,325238784,6,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":28,""balanced_backward_error"":1.630464559717249e-17,""balanced_condition_number"":1.002086350933962,""effective_incident_closure_error"":1.388533795742438e-20,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":64,""fz_tolerance"":9.404913322927371e-17,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.287752948687224e-16,""system_dimension"":56}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,88,p1_dimer_ka010_fluid_f000_f1080_d1000_t000,completed,1,2026-08-20T20:46:11.365838Z,2026-08-20T20:46:11.374782Z,2;3;4;5;6;7,2;3;4;5;6;7,7,1800,0.0089345710584893823,0.0089345710584893823,325238784,6,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":28,""balanced_backward_error"":2.4466467567905407e-17,""balanced_condition_number"":1.001139306826332,""effective_incident_closure_error"":1.6507158677377567e-19,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":64,""fz_tolerance"":4.1218151454948776e-17,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.4745901610441593e-16,""system_dimension"":56}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,89,p1_dimer_ka010_rigid_boundary_d0210_t000,completed,1,2026-08-20T20:46:11.377561Z,2026-08-20T20:46:42.761270Z,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,21,1800,31.383698126999661,31.383698126999661,335622144,20,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":231,""balanced_backward_error"":8.800585723035575e-18,""balanced_condition_number"":1.8733698935724223,""effective_incident_closure_error"":1.5392786988670949e-58,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":484,""fz_tolerance"":4.5339026926502547e-14,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.0758152454081565e-16,""system_dimension"":462}",false,false,pair_eligibility,"1:(0, 1)=convergence"
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,90,p1_dimer_ka010_rigid_boundary_d0225_t000,completed,1,2026-08-20T20:46:42.765659Z,2026-08-20T20:46:51.487836Z,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,16,1800,8.7221626969985664,8.7221626969985664,335622144,15,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":136,""balanced_backward_error"":1.4387866286122684e-17,""balanced_condition_number"":1.3760282552380165,""effective_incident_closure_error"":7.979534999049828e-46,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":289,""fz_tolerance"":2.8287363859837684e-14,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.2482037914720432e-16,""system_dimension"":272}",true,true,,
