schema_version,campaign_id,manifest_sha256,case_order,case_id,attempt_state,attempt_count,eligible,failure_stage,failure_reason,include_in_scientific_tables
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,41,p1_dimer_ka005_rigid_boundary_d0210_t000,completed,1,false,pair_eligibility,"1:(0, 1)=convergence",true
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,89,p1_dimer_ka010_rigid_boundary_d0210_t000,completed,1,false,pair_eligibility,"1:(0, 1)=convergence",true
